"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","stateProvince.original","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","elevation","elevationAccuracy","modified","otherCatalogNumbers","habitat","higherGeography","georeferenceProtocol","eventRemarks","identificationQualifier","higherClassification","continent","institutionID","county","rights","nomenclaturalStatus","nomenclaturalCode","taxonID","bibliographicCitation","collectionID","references","fieldNotes","verbatimEventDate","verbatimTaxonRank","organismID","datasetID","accessRights","coordinateUncertaintyInMeters","preparations","identificationRemarks","endDayOfYear","startDayOfYear","georeferenceSources","eventID","dynamicProperties","verbatimLocality","higherGeographyID","locationID","identificationID","verbatimElevation","georeferencedDate","typeStatus","fieldNumber","individualCount","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Tabernaemontana angulata",1889177063,-9.235556,-57.011389,"gass84","22331d58-4a7e-40da-b7db-652a4d4d85ed","e7132376-4a7e-458a-be08-946850a2beac","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-10-25T12:34:31.578+0000","2018-08-03T12:12:58.087+0000",118,"none","PRESERVED_SPECIMEN",3619032,6,7707728,220,412,6701,3169624,3619032,3619032,"Tabernaemontana angulata Müll.Arg.","Tabernaemontana angulata Müll.Arg.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Tabernaemontana","Tabernaemontana angulata","Tabernaemontana","angulata","SPECIES","ACCEPTED","2016-06-19T00:00:00","Pará",2016,3,4,"2016-03-04T00:00:00","2018-08-03T12:12:58.094+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HERBAM - Herbário da Amazônia Meridional","BRA:UNEMAT:HERBAM:0000011794","52","HERBAM - Herbário da Amazônia Meridional","Jacareacanga","UHE São Manoel - Pousada","pt","HERBAM",1889177063,"BRA:UNEMAT:HERBAM:0000011794","Collection","Zanzini, LP; W. Carvalhais, E dos Sant; R. Silva","11794","UNEMAT","Universidade do Estado de Mato Grosso (UNEMAT)","Flora UHE São Manoel - FAESPE- HERBAM","Koch, AK",NA,NA,"","","","","","","","","","","","","","",NA,"","","",NA,"","",NA,"","",NA,"",NA,NA,NA,"","","","",NA,"","",NA,"","",NA,NA,"","Jacareacanga","Pará","brazil",4424,"Jacareacanga",1503754,-57.303127,-7.445992,"PARA","PA","Pará",-53.0625366,-3.972184,"Pará","pa",-9.235556,-57.011389,"original coordinates","original coordinates outside municipality original in jacareacanga falls in paranaita"
"2","Tabernaemontana angulata",1094179913,-14.8025,-39.149444,"gass84","fffdea53-c113-4cdc-896e-a9c5fd726591","1c72778c-05de-4f31-b83a-ff541ce5dff7","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:28.617+0000","2018-09-25T15:15:05.128+0000",81,"none","PRESERVED_SPECIMEN",3619032,6,7707728,220,412,6701,3169624,3619032,3619032,"Tabernaemontana angulata Müll.Arg.","Tabernaemontana angulata Müll.Arg.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Tabernaemontana","Tabernaemontana angulata","Tabernaemontana","angulata","SPECIES","ACCEPTED","2018-01-01T00:00:00","Bahia",2014,12,8,"2014-12-08T00:00:00","2018-12-09T06:20:48.310+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UESC - Herbário Universidade Estadual de Santa Cruz","BRA:UESC:UESC:0000019992","41","UESC - Herbário Universidade Estadual de Santa Cruz","Ilhéus","Vila Cachoeira","pt","UESC",1094179913,"BRA:UESC:UESC:0000019992","Collection","Florêcncio,F.J;","19992","UESC","Universidade Estadual de Santa Cruz (UESC)","Cultivada.; Arbusto, aprox. 1,5 m de altura.; Cultivada. Látex nos pecíolos. Unicata.","G. B. da Silva",45,0,"2018-08-22T12:16:27.000+0000","","","","","","","","","","","","","",NA,"","","",NA,"","",NA,"","",NA,"",NA,NA,NA,"","","","",NA,"","",NA,"","",NA,NA,"","Ilhéus","Bahia","brazil",3250,"Ilhéus",2913606,-39.190761,-14.766458,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-14.8025,-39.149444,"original coordinates","original coordinates OK"
"3","Tabernaemontana angulata",1090153998,-1.675947,-47.765836,"gass84","0c00cc8f-fd48-4771-acae-216bfc42dfc2","dbf378dd-b030-4049-bc9c-b5b8643e67cd","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:36:10.841+0000","2018-10-25T12:35:43.137+0000",130,"none","PRESERVED_SPECIMEN",3619032,6,7707728,220,412,6701,3169624,3619032,3619032,"Tabernaemontana angulata Müll.Arg.","Tabernaemontana angulata Müll.Arg.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Tabernaemontana","Tabernaemontana angulata","Tabernaemontana","angulata","SPECIES","ACCEPTED","none","Pará",2013,1,10,"2013-01-10T00:00:00","2018-12-08T04:39:58.401+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","BRA:UEPA:MFS:0000003580","1147","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","São Domingos do Capim","","pt","MFS",1090153998,"BRA:UEPA:MFS:0000003580","Collection","Lucas, F.C.A.","003580","UEPA","Universidade do Estado do Pará (UEPA)","Arbusto de 2m de altura com flor branca.","Silva, CAS da",9999,0,"2018-10-16T18:32:51.000+0000","","","","","","","","","","","","","",NA,"","","",NA,"","",NA,"","",NA,"",NA,NA,NA,"","","","",NA,"","",NA,"","",NA,NA,"","São Domingos do Capim","Pará","brazil",5456,"São Domingos do Capim",1507201,-47.771609,-1.88326,"PARA","PA","Pará",-53.0625366,-3.972184,"Pará","pa",-1.675947,-47.765836,"original coordinates","original coordinates OK"
"4","Tabernaemontana angulata",1090155330,-0.728889,-47.848056,"gass84","0c00cc8f-fd48-4771-acae-216bfc42dfc2","dbf378dd-b030-4049-bc9c-b5b8643e67cd","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:36:11.564+0000","2018-07-04T12:09:02.426+0000",130,"none","PRESERVED_SPECIMEN",3619032,6,7707728,220,412,6701,3169624,3619032,3619032,"Tabernaemontana angulata Müll.Arg.","Tabernaemontana angulata Müll.Arg.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Tabernaemontana","Tabernaemontana angulata","Tabernaemontana","angulata","SPECIES","ACCEPTED","none","Pará",2013,7,8,"2013-07-08T00:00:00","2018-12-08T04:39:59.010+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","BRA:UEPA:MFS:0000004905","202","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","Curuçá","Área de estudos da UFRA. Mata ripária.","pt","MFS",1090155330,"BRA:UEPA:MFS:0000004905","Collection","Xavier-Júnior, SR","004905","UEPA","Universidade do Estado do Pará (UEPA)","Arbusto de 80cm de altura, latex branco. Presença de flor amarela e botões florais marrons.","",0,0,"2018-06-14T13:42:07.000+0000","","","","","","","","","","","","","",NA,"","","",NA,"","",NA,"","",NA,"",NA,NA,NA,"","","","",NA,"","",NA,"","",NA,NA,"","Curuçá","Pará","brazil",5527,"Curuçá",1502905,-47.865658,-0.743977,"PARA","PA","Pará",-53.0625366,-3.972184,"Pará","pa",-0.728889,-47.848056,"original coordinates","original coordinates OK"
"5","Tabernaemontana angulata",1090152203,-0.606389,-47.561389,"gass84","0c00cc8f-fd48-4771-acae-216bfc42dfc2","dbf378dd-b030-4049-bc9c-b5b8643e67cd","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:36:10.090+0000","2018-07-04T12:09:00.974+0000",130,"none","PRESERVED_SPECIMEN",3619032,6,7707728,220,412,6701,3169624,3619032,3619032,"Tabernaemontana angulata Müll.Arg.","Tabernaemontana angulata Müll.Arg.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Tabernaemontana","Tabernaemontana angulata","Tabernaemontana","angulata","SPECIES","ACCEPTED","none","Pará",2012,1,24,"2012-01-24T00:00:00","2018-12-08T04:39:57.596+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","BRA:UEPA:MFS:0000001766","864","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","Maracanã","Comunidade de Nazaré entre Camboinho e Fortalezinha. 00º36'44,5""S 047º33'55,3""W.","pt","MFS",1090152203,"BRA:UEPA:MFS:0000001766","Collection","Gurgel, ESC","001766","UEPA","Universidade do Estado do Pará (UEPA)","Arbusto 1m de altura. Flores com cálice creme, corola creme.","",9999,0,"2018-06-14T13:42:07.000+0000","","","","","","","","","","","","","",NA,"","","",NA,"","",NA,"","",NA,"",NA,NA,NA,"","","","",NA,"","",NA,"","",NA,NA,"","Maracanã","Pará","brazil",5523,"Maracanã",1504307,-47.498872,-0.799842,"PARA","PA","Pará",-53.0625366,-3.972184,"Pará","pa",-0.606389,-47.561389,"original coordinates","original coordinates OK"
"6","Tabernaemontana angulata",1090892979,-2.955556,-44.806944,"gass84","86aea6d0-e340-4745-a596-3fc20f90a021","eae63642-6f0d-45b9-a079-6ecd34406631","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:28.549+0000","2018-11-23T18:22:28.612+0000",122,"none","PRESERVED_SPECIMEN",3619032,6,7707728,220,412,6701,3169624,3619032,3619032,"Tabernaemontana angulata Müll.Arg.","Tabernaemontana angulata Müll.Arg.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Tabernaemontana","Tabernaemontana angulata","Tabernaemontana","angulata","SPECIES","ACCEPTED","none","Maranhão",2011,1,13,"2011-01-13T00:00:00","2018-12-09T06:15:04.779+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MAR - Herbário do Maranhão","BRA:UFMA:MAR:0000005902","9","MAR - Herbário do Maranhão","São João Batista","Maravilha","pt","MAR",1090892979,"BRA:UFMA:MAR:0000005902","Collection","Araújo, A.C.M. e Barbosa, M.M.","5902","UFMA","Universidade Federal do Maranhão (UFMA)","Planta arbustiva, produção de látex, flor branca","",NA,NA,"2018-11-01T18:57:07.000+0000","","","","","","","","","","","","","",NA,"","","",NA,"","",NA,"","",NA,"",NA,NA,NA,"","","","",NA,"","",NA,"","",NA,NA,"","São João Batista","Maranhão","brazil",5370,"São João Batista",2111003,-44.759632,-3.004482,"MARANHAO","MA","Maranhão",-45.28117854,-5.05609075,"Maranhão","ma",-2.955556,-44.806944,"original coordinates","original coordinates OK"
"7","Tabernaemontana angulata",1090152638,-1.954197,-48.198936,"gass84","0c00cc8f-fd48-4771-acae-216bfc42dfc2","dbf378dd-b030-4049-bc9c-b5b8643e67cd","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:36:10.231+0000","2018-10-25T12:35:42.902+0000",130,"none","PRESERVED_SPECIMEN",3619032,6,7707728,220,412,6701,3169624,3619032,3619032,"Tabernaemontana angulata Müll.Arg.","Tabernaemontana angulata Müll.Arg.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Tabernaemontana","Tabernaemontana angulata","Tabernaemontana","angulata","SPECIES","ACCEPTED","none","Pará",2011,5,3,"2011-05-03T00:00:00","2018-12-08T04:39:57.755+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","BRA:UEPA:MFS:0000002182","1361","MFS - Herbário Profª. Drª. Marlene Freitas da Silva","Acará","","pt","MFS",1090152638,"BRA:UEPA:MFS:0000002182","Collection","Lucas, F.C.A.","002182","UEPA","Universidade do Estado do Pará (UEPA)","Arbusto de 1,5m de altura com inflorescência branca.","",9999,0,"2018-10-16T18:32:51.000+0000","","","","","","","","","","","","","",NA,"","","",NA,"","",NA,"","",NA,"",NA,NA,NA,"","","","",NA,"","",NA,"","",NA,NA,"","Acará","Pará","brazil",5447,"Acará",1500206,-48.411516,-2.034095,"PARA","PA","Pará",-53.0625366,-3.972184,"Pará","pa",-1.954197,-48.198936,"original coordinates","original coordinates OK"
"8","Tabernaemontana angulata",1077420431,-1.433611,-48.446389,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:18.278+0000","2018-10-24T15:38:13.780+0000",121,"none","PRESERVED_SPECIMEN",3619032,6,7707728,220,412,6701,3169624,3619032,3619032,"Tabernaemontana angulata Müll.Arg.","Tabernaemontana angulata Müll.Arg.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Tabernaemontana","Tabernaemontana angulata","Tabernaemontana","angulata","SPECIES","ACCEPTED","none","Pará",2011,12,29,"2011-12-29T00:00:00","2018-12-06T14:18:04.990+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000041345","61","FURB - Herbário Dr. Roberto Miguel Klein","Belém","Campus de Pesquisa do Museu Paraense Emílio Goeldi.","pt","FURB",1077420431,"BRA:FURB:FURB:0000041345","Collection","Pereira, A.S.; Sato, K.S.S.","41345","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","","",NA,NA,"2018-10-11T17:15:22.000+0000","","","","","","","","","","","","","",NA,"","","",NA,"","",NA,"","",NA,"",NA,NA,NA,"","","","",NA,"","",NA,"","",NA,NA,"","Belém","Pará","brazil",5494,"Belém",1501402,-48.462671,-1.229381,"PARA","PA","Pará",-53.0625366,-3.972184,"Pará","pa",-1.433611,-48.446389,"original coordinates","original coordinates OK"
"9","Tabernaemontana angulata",1424303438,-1.201667,-46.291389,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:41:02.040+0000","2018-09-24T20:02:16.679+0000",207,"none","PRESERVED_SPECIMEN",3619032,6,7707728,220,412,6701,3169624,3619032,3619032,"Tabernaemontana angulata Müll.Arg.","Tabernaemontana angulata Müll.Arg.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Tabernaemontana","Tabernaemontana angulata","Tabernaemontana","angulata","SPECIES","ACCEPTED","2012-08-23T00:00:00","Pará",2010,5,28,"2010-05-28T00:00:00","2018-12-06T16:59:02.780+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:592563","282","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Viseu","Localidade de Jutaí. Serra do Piriá. Floresta de Terra Firme alterada com afloramentos de canga.","","RB",1424303438,"urn:catalog:JBRJ:RB:592563","PhysicalObject","A. K. Koch; E.S. Leal; R.C. Forzza; O.S. Moura; J.S. Melo","RB00592563","JBRJ","","Arbusto, ca. 1 m alt. Folhas coriáceas, pilosas na face abaxial. Flores com cálice verde, corola branco-avermelhas na base na face externa, lascínias brancas.","S.S. Viana",13,NA,"2017-10-18T15:48:18.770+0000","RB 499468","","","","","","","","","","","","",NA,"","","",NA,"","",NA,"","",NA,"",NA,NA,NA,"","","","",NA,"","",NA,"","",NA,NA,"","Viseu","Pará","brazil",5477,"Viseu",1508308,-46.45129,-1.5204,"PARA","PA","Pará",-53.0625366,-3.972184,"Pará","pa",-1.201667,-46.291389,"original coordinates","original coordinates OK"
"10","Tabernaemontana angulata",1424307772,-3.742778,-49.534722,"cdround,gass84,muluriiv","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:41:04.677+0000","2018-09-24T20:02:18.770+0000",207,"none","PRESERVED_SPECIMEN",3619032,6,7707728,220,412,6701,3169624,3619032,3619032,"Tabernaemontana angulata Müll.Arg.","Tabernaemontana angulata Müll.Arg.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Tabernaemontana","Tabernaemontana angulata","Tabernaemontana","angulata","SPECIES","ACCEPTED","2012-08-23T00:00:00","Pará",2010,7,4,"2010-07-04T00:00:00","2018-12-06T16:59:04.815+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:596949","3023","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Breu Branco","PA-263, Km 15, sentido Tucuruí - Goianésia, 1,5 Km no ramal do Dique Dois, entrada a diretita, antes de atravessar o Dique. Campinara.","","RB",1424307772,"urn:catalog:JBRJ:RB:596949","PhysicalObject","C.N. Fraga; A.K. Koch; E.S. Leal; F. Bonadeu & O.S. de Moura","RB00596949","JBRJ","","Arbusto, cerca de  1,5 metros de altura. Folhas verde, discolores. Flores com sépalas verde amareladas, pétalas brancas, centro amarelo.","S.S. Viana",77,NA,"2017-10-18T17:21:16.976+0000","RB 458264","","","","","","","","","","","","",NA,"","","",NA,"","",NA,"","",NA,"",NA,NA,NA,"","","","",NA,"","",NA,"","",NA,NA,"","Breu Branco","Pará","brazil",5267,"Breu Branco",1501782,-49.371173,-3.735673,"PARA","PA","Pará",-53.0625366,-3.972184,"Pará","pa",-3.742778,-49.534722,"original coordinates","original coordinates OK"
