"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","continent","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","references","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","verbatimElevation","collectionID","individualCount","nomenclaturalStatus","taxonID","bibliographicCitation","otherCatalogNumbers","fieldNotes","coordinateUncertaintyInMeters","georeferencedDate","habitat","georeferencedBy","verbatimLocality","georeferenceSources","occurrenceStatus","reproductiveCondition","georeferenceProtocol","verbatimCoordinateSystem","disposition","identificationQualifier","rights","identificationRemarks","eventID","dynamicProperties","higherGeographyID","higherGeography","locationID","accessRights","identificationID","organismID","datasetID","higherClassification","verbatimTaxonRank","fieldNumber","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Ilex psammophila",1226938754,-9.236468,-36.434809,"gass84","c9bc6b8d-a4ff-4a47-9cff-d0d1b9e548c7","f4cf14c8-58db-4947-a93c-e43f2b7fe171","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:33:31.835+0000","2018-08-03T12:13:52.424+0000",128,"none","PRESERVED_SPECIMEN",5534404,6,7707728,220,7226638,6716,3169013,5534404,5534404,"Ilex psammophila Mart. ex Reissek","Ilex psammophila Mart. ex Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex psammophila","Ilex","psammophila","SPECIES","ACCEPTED","none",820,0,"SOUTH_AMERICA","Alagoas",2015,10,9,"2015-10-09T00:00:00","2018-07-26T14:02:17.000+0000","2018-12-07T20:00:34.808+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","JPB - Herbário Lauro Pires Xavier","BRA:UFPB:JPB:0000061294","4599","JPB - Herbário Lauro Pires Xavier","Quebrangulo","Reserva Biológica da Pedra Talhada, Localité de Quebrangulo.","pt","JPB",1226938754,"BRA:UFPB:JPB:0000061294","Collection","Nusbaumer, L","61294","UFPB","Universidade Federal da Paraíba, UFPB","arbre, 17 m, 13 cm DBH; 5 pét. soudés blanc crème, filets blanc, ét. alternipét., anthères jaunes pâle, fr. conique strié longit., délicieuse odeur de coumarine, f. discolores, nervures bouclées plus sombre que le limbe; récolte photo","","","","","",NA,"","",NA,"","",NA,"",NA,"","","",NA,"","",NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,"","","",NA,"Quebrangulo","Alagoas","brazil",4031,"Quebrangulo",2707602,-36.468669,-9.311118,"ALAGOAS","AL","Alagoas",-36.62362821,-9.51494324,"Alagoas","al",-9.236468,-36.434809,"original coordinates","original coordinates OK"
"2","Ilex psammophila",1090520006,-14.705833,-39.603333,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:40.465+0000","2018-11-24T12:34:40.711+0000",122,"none","PRESERVED_SPECIMEN",5534404,6,7707728,220,7226638,6716,3169013,5534404,5534404,"Ilex psammophila Mart. ex Reissek","Ilex psammophila Mart. ex Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex psammophila","Ilex","psammophila","SPECIES","ACCEPTED","none",NA,NA,"","Bahia",2012,4,11,"2012-04-11T00:00:00","2018-11-14T18:04:21.000+0000","2018-12-08T04:43:01.831+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000135172","657","CEPEC - Herbário do Centro de Pesquisas do Cacau","ALMADINA","Serra do Corcovado, acesso pela Fazenda São José. Proprietário Senhor Francisco.","pt","CEPEC",1090520006,"BRA:CEPLAC:CEPEC:0000135172","Collection","M.M. Coelho","135172","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","","Sem Informação","","","","",NA,"","",NA,"","",NA,"",NA,"","","",NA,"","",NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,"","","",NA,"ALMADINA","Bahia","brazil",3258,"Almadina",2900900,-39.663617,-14.70145,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-14.705833,-39.603333,"original coordinates","original coordinates OK"
"3","Ilex psammophila",1094900162,-13.237222,-38.978333,"gass84,iddatunl","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:42.891+0000","2018-09-10T18:27:25.286+0000",124,"none","PRESERVED_SPECIMEN",5534404,6,7707728,220,7226638,6716,3169013,5534404,5534404,"Ilex psammophila Mart. ex Reissek","Ilex psammophila Mart. ex Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex psammophila","Ilex","psammophila","SPECIES","ACCEPTED","2012-06-01T00:00:00",NA,NA,"","Bahia",2011,11,7,"2011-11-07T00:00:00","","2018-09-10T18:27:51.057+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000183085","769","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Valença","Momuncabo-Ponta Grossa.","pt","HUEFS",1094900162,"BRA:UEFS:HUEFS:0000183085","Collection","Matos, E.N.de","183085","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Floresta.","M.Groppo","","","","",NA,"","",NA,"","",NA,"",NA,"","","",NA,"","",NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,"","","",NA,"Valença","Bahia","brazil",3417,"Valença",2932903,-39.198775,-13.359908,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.237222,-38.978333,"original coordinates","original coordinates outside municipality original in valenca falls in jaguaripe"
"4","Ilex psammophila",1094900163,-17.665,-39.2375,"gass84,iddatunl","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:42.911+0000","2018-09-10T18:27:25.306+0000",124,"none","PRESERVED_SPECIMEN",5534404,6,7707728,220,7226638,6716,3169013,5534404,5534404,"Ilex psammophila Mart. ex Reissek","Ilex psammophila Mart. ex Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex psammophila","Ilex","psammophila","SPECIES","ACCEPTED","2012-06-01T00:00:00",NA,NA,"","Bahia",2011,12,13,"2011-12-13T00:00:00","","2018-09-10T18:27:51.046+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000183086","949","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Caravelas","Aeroporto de Caravelas.","pt","HUEFS",1094900163,"BRA:UEFS:HUEFS:0000183086","Collection","Matos, E.N.de","183086","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Campestre","M.Groppo","","","","",NA,"","",NA,"","",NA,"",NA,"","","",NA,"","",NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,"","","",NA,"Caravelas","Bahia","brazil",2833,"Caravelas",2906907,-39.695063,-17.656909,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-17.665,-39.2375,"original coordinates","original coordinates OK"
"5","Ilex psammophila",1094900161,-17.665,-39.2375,"gass84,iddatunl","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:42.911+0000","2018-09-10T18:27:25.265+0000",124,"none","PRESERVED_SPECIMEN",5534404,6,7707728,220,7226638,6716,3169013,5534404,5534404,"Ilex psammophila Mart. ex Reissek","Ilex psammophila Mart. ex Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex psammophila","Ilex","psammophila","SPECIES","ACCEPTED","2012-06-01T00:00:00",NA,NA,"","Bahia",2011,12,13,"2011-12-13T00:00:00","","2018-09-10T18:27:51.067+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000183087","960","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Caravelas","Aeroporto de Caravelas.","pt","HUEFS",1094900161,"BRA:UEFS:HUEFS:0000183087","Collection","Matos, E.N.de","183087","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Campestre","M.Groppo","","","","",NA,"","",NA,"","",NA,"",NA,"","","",NA,"","",NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,"","","",NA,"Caravelas","Bahia","brazil",2833,"Caravelas",2906907,-39.695063,-17.656909,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-17.665,-39.2375,"original coordinates","original coordinates OK"
"6","Ilex psammophila",1094863375,-12.017778,-38.048611,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:19.929+0000","2018-09-10T18:27:04.854+0000",124,"none","PRESERVED_SPECIMEN",5534404,6,7707728,220,7226638,6716,3169013,5534404,5534404,"Ilex psammophila Mart. ex Reissek","Ilex psammophila Mart. ex Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex psammophila","Ilex","psammophila","SPECIES","ACCEPTED","none",NA,NA,"","Bahia",2009,1,24,"2009-01-24T00:00:00","","2018-09-10T18:27:23.878+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000146083","485","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","pt","HUEFS",1094863375,"BRA:UEFS:HUEFS:0000146083","Collection","Popovkin, A.V.","146083","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","","","","","",NA,"","",NA,"","",NA,"",NA,"","","",NA,"","",NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,"","","",NA,"Entre Rios","Bahia","brazil",3584,"Entre Rios",2910503,-38.042945,-12.073204,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.017778,-38.048611,"original coordinates","original coordinates OK"
"7","Ilex psammophila",1094863399,-12.017778,-38.048611,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:19.895+0000","2018-09-10T18:27:04.836+0000",124,"none","PRESERVED_SPECIMEN",5534404,6,7707728,220,7226638,6716,3169013,5534404,5534404,"Ilex psammophila Mart. ex Reissek","Ilex psammophila Mart. ex Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex psammophila","Ilex","psammophila","SPECIES","ACCEPTED","none",NA,NA,"","Bahia",2009,2,9,"2009-02-09T00:00:00","","2018-09-10T18:27:23.890+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000146099","502","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Entre Rios","Fazenda Rio do Negro. Residual stands of the Atlantic Forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","pt","HUEFS",1094863399,"BRA:UEFS:HUEFS:0000146099","Collection","Popovkin, A.V.","146099","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","","","","","",NA,"","",NA,"","",NA,"",NA,"","","",NA,"","",NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,"","","",NA,"Entre Rios","Bahia","brazil",3584,"Entre Rios",2910503,-38.042945,-12.073204,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.017778,-38.048611,"original coordinates","original coordinates OK"
"8","Ilex psammophila",1929615718,-12.88,-37.95,"elmms,gass84","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","none","17017c2c-036b-45d9-b045-606d21b00771","US","DWC_ARCHIVE","2018-11-18T15:24:31.593+0000","2018-11-18T15:24:31.622+0000",96,"none","PRESERVED_SPECIMEN",5534404,6,7707728,220,7226638,6716,3169013,5534404,5534404,"Ilex psammophila Mart. ex Reissek","Ilex psammophila Mart. ex Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex psammophila","Ilex","psammophila","SPECIES","ACCEPTED","none",76.5,76.5,"SOUTH_AMERICA","Bahia",2008,2,9,"2008-02-09T00:00:00","","2018-12-07T15:03:57.659+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","The New York Botanical Garden","82cc573e-9fdd-4471-aeb1-e125cc186c8c","186","Vascular plants","","Fazenda Rio Negro. Residual stands of the Atlantic Forest. Restinga-type forest of the Rio do Negro valley, ca. 15 km southeast of Entre Rios.","en","NY",1929615718,"82cc573e-9fdd-4471-aeb1-e125cc186c8c","PhysicalObject","A. V. Popovkin","02692559","NY","","","","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2987760","http://biocol.org/urn:lsid:biocol.org:col:15556","ICN","09 Feb 2008",40,"Entre Rios","sheet",40,"502 ft","http://biocol.org/urn:lsid:biocol.org:col:15556",NA,"",NA,"","","",NA,"","",NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,"","","",NA,"","Bahia","brazil",NA,"",NA,NA,NA,"","","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.88,-37.95,"original coordinates","original coordinates outside Brazil"
"9","Ilex psammophila",1257695251,-2.137222,-48.792778,"cdround,gass84","7bd65a7a-f762-11e1-a439-00145eb45e9a","90fd6680-349f-11d8-aa2d-b8a03c50a862","none","c4e134d3-c68f-406d-a116-6a37895602e0","US","DWC_ARCHIVE","2018-06-20T07:52:49.858+0000","2018-06-20T07:52:49.882+0000",28,"none","PRESERVED_SPECIMEN",5534404,6,7707728,220,7226638,6716,3169013,5534404,5534404,"Ilex psammophila Mart. ex Reissek","Ilex psammophila Mart. ex Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex psammophila","Ilex","psammophila","SPECIES","ACCEPTED","none",NA,NA,"SOUTH_AMERICA","Pará",2008,5,14,"2008-05-14T00:00:00","2013-06-12T05:45:00.000+0000","2018-12-07T15:10:50.688+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Missouri Botanical Garden","urn:catalog:MO:Tropicos:100346113","Mansano 619","Tropicos","","Reserva da Embrapa, mata de igapó.","","MO",1257695251,"urn:catalog:MO:Tropicos:100346113","PhysicalObject","V. F. Mansano","100346113","MO","MOBOT","","","","","ICNafp","",NA,"Moju","",NA,"","http://biocol.org/urn:lsid:biocol.org:col:15859",1,"No opinion",2000362,"http://www.tropicos.org/Specimen/100346113","","",NA,"","",NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,"","","",NA,"","Pará","brazil",NA,"",NA,NA,NA,"","","Pará",-53.0625366,-3.972184,"Pará","pa",-2.137222,-48.792778,"original coordinates","original coordinates outside municipality original in  falls in moju"
"10","Ilex psammophila",1423894338,-17.686944,-39.473333,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:34:23.448+0000","2018-09-24T19:57:45.551+0000",207,"none","PRESERVED_SPECIMEN",5534404,6,7707728,220,7226638,6716,3169013,5534404,5534404,"Ilex psammophila Mart. ex Reissek","Ilex psammophila Mart. ex Reissek","Plantae","Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex psammophila","Ilex","psammophila","SPECIES","ACCEPTED","none",NA,NA,"","Bahia",2008,10,1,"2008-10-01T00:00:00","2018-03-26T17:18:59.344+0000","2018-12-06T16:55:14.849+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1015483","500","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Caravelas","Extremo Sul da Bahia. Distrito de Juerana. Povoado de Taquari.","","RB",1423894338,"urn:catalog:JBRJ:RB:1015483","PhysicalObject","H.M. Dias; U.N. Machado; J.A.S. Serafim & J.A. Santos","RB01015483","JBRJ","","Arbusto de 2,0 metros de altura, com botões amarelados, folhas simples e alternas. Comum na áres","","","","","",NA,"","",NA,"","",NA,"",NA,"","RB 632712","Área de mussununga, entre monoculturas de eucalipto, sobre solo arenoso, com fortes sinais de corte e queima",NA,"","",NA,"","",NA,NA,"",NA,NA,NA,NA,"",NA,NA,NA,"",NA,"",NA,NA,"","","",NA,"Caravelas","Bahia","brazil",2833,"Caravelas",2906907,-39.695063,-17.656909,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-17.686944,-39.473333,"original coordinates","original coordinates OK"
