"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","continent","otherCatalogNumbers","fieldNotes","individualCount","preparations","institutionID","higherGeography","endDayOfYear","startDayOfYear","higherClassification","references","nomenclaturalCode","verbatimEventDate","county","verbatimElevation","collectionID","identificationQualifier","fieldNumber","organismID","datasetID","accessRights","coordinateUncertaintyInMeters","habitat","georeferenceProtocol","georeferenceSources","verbatimTaxonRank","identificationRemarks","georeferencedDate","verbatimLocality","locationAccordingTo","previousIdentifications","reproductiveCondition","typeStatus","dynamicProperties","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Eremanthus erythropappus",1913587491,-20.374444,-43.253583,"gass84","3345dcbc-a43d-4307-9cd8-084cb293d6bb","99e6e602-8dbd-46fe-aebb-ab1993168565","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:37.606+0000","2018-10-24T18:22:17.176+0000",130,"none","PRESERVED_SPECIMEN",3133616,6,7707728,220,414,3065,3133590,3133616,3133616,"Eremanthus erythropappus (DC.) MacLeish","Eremanthus erythropappus (DC.) MacLeish","Plantae","Tracheophyta","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Eremanthus","erythropappus","SPECIES","ACCEPTED","2018-08-28T00:00:00",0,0,"Minas Gerais",2018,8,28,"2018-08-28T00:00:00","2018-10-16T19:12:20.000+0000","2018-12-10T13:35:50.633+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","OUPR - Herbário ""Professor José Badini""","BRA:UFOP:OUPR:0000030693","12","OUPR - Herbário ""Professor José Badini""","Mariana","Rodovia MG-262.","pt","OUPR",1913587491,"BRA:UFOP:OUPR:0000030693","Collection","Corrado, A.R.; Messias, M.C.T.B.; Pedrosa, L.G. & Souza, J.P.","30693","UFOP","Universidade Federal de Ouro Preto (UFOP)","Arvoreta, 1,5m. Flores lilases. Em afloramentos rochosos, beira de estrada. Coleta realizada pelo Projeto Plantas Úteis da Bacia do Rio Doce (CAPES).","Messias, M.C.T.B.","","","",NA,"","","",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","Mariana","Minas Gerais","brazil",2315,"Mariana",3140001,-43.332093,-20.329725,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-20.374444,-43.253583,"original coordinates","original coordinates OK"
"2","Eremanthus erythropappus",1570755963,-21.728389,-44.987133,"gass84","5bad80c7-8b9e-448a-84fe-df70288f16ac","d07d294b-8ae1-48ab-94e2-f7caae47707d","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:28.745+0000","2018-11-23T15:39:28.765+0000",129,"none","PRESERVED_SPECIMEN",3133616,6,7707728,220,414,3065,3133590,3133616,3133616,"Eremanthus erythropappus (DC.) MacLeish","Eremanthus erythropappus (DC.) MacLeish","Plantae","Tracheophyta","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Eremanthus","erythropappus","SPECIES","ACCEPTED","2017-02-01T00:00:00",1050,0,"Minas Gerais",2017,1,18,"2017-01-18T00:00:00","2018-10-24T18:05:40.000+0000","2018-12-08T17:16:19.472+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUSC - Herbário Unisanta","BRA:UNISANTA:HUSC:0000011564","1653","HUSC - Herbário Unisanta","São Thomé das Letras","APA São Thomé, bairro Canta Galo, sítio das Panelas.","pt","HUSC",1570755963,"BRA:UNISANTA:HUSC:0000011564","Collection","P.S.P. Sampaio","11564","UNISANTA","Universidade Santa Cecília (UNISANTA)","Árvores com 5m de altura, capítulos passados marrons.; Cerrado.","B. Loeuille","","","",NA,"","","",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","São Thomé das Letras","Minas Gerais","brazil",1801,"São Thomé das Letras",3165206,-44.964472,-21.733926,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-21.728389,-44.987133,"original coordinates","original coordinates OK"
"3","Eremanthus erythropappus",1829083366,-20.088333,-43.638611,"gass84","d2470ef8-edfa-4ba7-821e-c3e1a537bdba","4265f332-341c-45f6-b30b-5dc2e39b86e8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:11:46.984+0000","2018-03-06T11:57:34.388+0000",121,"none","PRESERVED_SPECIMEN",3133616,6,7707728,220,414,3065,3133590,3133616,3133616,"Eremanthus erythropappus (DC.) MacLeish","Eremanthus erythropappus (DC.) MacLeish","Plantae","Tracheophyta","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Eremanthus","erythropappus","SPECIES","ACCEPTED","none",1082,0,"Minas Gerais",2017,7,25,"2017-07-25T00:00:00","","2018-07-07T03:32:33.198+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","BHCB - Herbário da Universidade Federal de Minas Gerais","BRA:UFMG:BHCB:0000188631","1360","BHCB - Herbário da Universidade Federal de Minas Gerais","Santa Bárbara","Fazenda Manoel José","pt","BHCB",1829083366,"BRA:UFMG:BHCB:0000188631","Collection","Paiva, JAM; Souza, JAM; Silva, E","188631","Universidade Federal de Minas Gerais (UFMG)","Universidade Federal de Minas Gerais (UFMG)","","","SOUTH_AMERICA","","",NA,"","","",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","Santa Bárbara","Minas Gerais","brazil",2414,"Santa Bárbara",3157203,-43.475592,-20.029419,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-20.088333,-43.638611,"original coordinates","original coordinates OK"
"4","Eremanthus erythropappus",1851288328,-22.435555,-43.246667,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:25.654+0000","2018-09-24T19:59:06.998+0000",207,"none","PRESERVED_SPECIMEN",3133616,6,7707728,220,414,3065,3133590,3133616,3133616,"Eremanthus erythropappus (DC.) MacLeish","Eremanthus erythropappus (DC.) MacLeish","Plantae","Tracheophyta","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Eremanthus","erythropappus","SPECIES","ACCEPTED","2018-05-30T00:00:00",NA,NA,"Rio de Janeiro",2017,7,25,"2017-07-25T00:00:00","2018-06-18T18:55:21.000+0000","2018-09-24T19:59:28.311+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1390490","2060","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Petrópolis","cume da Pedra do Oratório. Reserva Biológica de Araras","","RB",1851288328,"urn:catalog:JBRJ:RB:1390490","PhysicalObject","M.S.Wängler; Arruda, B.A.","RB01390490","JBRJ","","planta heliófila frequente, folhas discolores verdes na face adaxial e argenta na abaxial, pedúnculo argênteo, flores lilacíneas a alvas, aromáticas.","M.S.Wängler","","RB 767934","",NA,"","","",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","Petrópolis","Rio de Janeiro","brazil",1574,"Petrópolis",3303906,-43.155902,-22.393567,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-22.435555,-43.246667,"original coordinates","original coordinates OK"
"5","Eremanthus erythropappus",1639433223,-19.133889,-43.319722,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:11.894+0000","2018-09-24T19:58:51.879+0000",207,"none","PRESERVED_SPECIMEN",3133616,6,7707728,220,414,3065,3133590,3133616,3133616,"Eremanthus erythropappus (DC.) MacLeish","Eremanthus erythropappus (DC.) MacLeish","Plantae","Tracheophyta","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Eremanthus","erythropappus","SPECIES","ACCEPTED","2018-01-01T00:00:00",810,NA,"Minas Gerais",2017,9,7,"2017-09-07T00:00:00","2018-03-15T11:08:28.627+0000","2018-12-07T09:22:42.241+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1365019","887","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Conceição do Mato Dentro","Serra da Serpentina.","","RB",1639433223,"urn:catalog:JBRJ:RB:1365019","PhysicalObject","Barbosa-Silva, R.G.; Silva, J.L.","RB01365019","JBRJ","","Folhas discolores, face abaxial alvacenta. Inflorescência roxa","J.Nakajima","","RB 746175","",NA,"","","",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","Conceição do Mato Dentro","Minas Gerais","brazil",2645,"Conceição do Mato Dentro",3117504,-43.504683,-18.942492,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-19.133889,-43.319722,"original coordinates","original coordinates OK"
"6","Eremanthus erythropappus",1806875769,-20.434453,-43.510289,"gass84","d2470ef8-edfa-4ba7-821e-c3e1a537bdba","4265f332-341c-45f6-b30b-5dc2e39b86e8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:11:46.756+0000","2018-02-15T05:17:53.693+0000",121,"none","PRESERVED_SPECIMEN",3133616,6,7707728,220,414,3065,3133590,3133616,3133616,"Eremanthus erythropappus (DC.) MacLeish","Eremanthus erythropappus (DC.) MacLeish","Plantae","Tracheophyta","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Eremanthus","erythropappus","SPECIES","ACCEPTED","2017-11-01T00:00:00",0,0,"Minas Gerais",2017,11,1,"2017-11-01T00:00:00","2018-01-16T21:06:39.000+0000","2018-12-10T04:45:46.570+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","BHCB - Herbário da Universidade Federal de Minas Gerais","BRA:UFMG:BHCB:0000188420","EE1","BHCB - Herbário da Universidade Federal de Minas Gerais","Mariana","Parque Estadual do Itacolomi, Trilha da Capela","pt","BHCB",1806875769,"BRA:UFMG:BHCB:0000188420","Collection","Jorge, NC; Isaias, RMS; Hildeberto, CS","188420","Universidade Federal de Minas Gerais (UFMG)","Universidade Federal de Minas Gerais (UFMG)","","","SOUTH_AMERICA","","",NA,"","","",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","Mariana","Minas Gerais","brazil",2315,"Mariana",3140001,-43.332093,-20.329725,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-20.434453,-43.510289,"original coordinates","original coordinates outside municipality original in mariana falls in ouro preto"
"7","Eremanthus erythropappus",1423930153,-22.963056,-43.270556,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:35:34.791+0000","2018-09-24T19:58:03.555+0000",207,"none","PRESERVED_SPECIMEN",3133616,6,7707728,220,414,3065,3133590,3133616,3133616,"Eremanthus erythropappus (DC.) MacLeish","Eremanthus erythropappus (DC.) MacLeish","Plantae","Tracheophyta","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Eremanthus","erythropappus","SPECIES","ACCEPTED","2017-08-23T00:00:00",499,NA,"Rio de Janeiro",2016,3,23,"2016-03-23T00:00:00","2017-10-08T21:43:07.150+0000","2018-12-06T16:55:36.820+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1181962","808","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Rio de Janeiro","Trilha para o Mirante da Freira. Área de mata mais baixa, dossel de 5 m e de solo mais seco. Parque Nacional da Tijuca","","RB",1423930153,"urn:catalog:JBRJ:RB:1181962","PhysicalObject","P. Rosa; M. Moraes, R. Negrão, R. Gomes, D. Maurenza, H. Medeiros","RB01181962","JBRJ","","Terrícola, heliófila. Folhas discolores, face adaxial verde-escura e face abaxial alvacenta. Pré-floração com brácteas alvacentas. Caule tortuoso.","N.ROQUE &M.ALVES","","RB 661188","",NA,"","","",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","Rio de Janeiro","Rio de Janeiro","brazil",1360,"Rio de Janeiro",3304557,-43.45231,-22.924471,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-22.963056,-43.270556,"original coordinates","original coordinates OK"
"8","Eremanthus erythropappus",1587292585,-20.165278,-43.431111,"gass84","d2470ef8-edfa-4ba7-821e-c3e1a537bdba","4265f332-341c-45f6-b30b-5dc2e39b86e8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:11:46.452+0000","2018-02-15T05:17:53.470+0000",121,"none","PRESERVED_SPECIMEN",3133616,6,7707728,220,414,3065,3133590,3133616,3133616,"Eremanthus erythropappus (DC.) MacLeish","Eremanthus erythropappus (DC.) MacLeish","Plantae","Tracheophyta","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Eremanthus","erythropappus","SPECIES","ACCEPTED","2016-08-24T00:00:00",910,0,"Minas Gerais",2016,7,26,"2016-07-26T00:00:00","","2018-07-07T03:32:33.198+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","BHCB - Herbário da Universidade Federal de Minas Gerais","BRA:UFMG:BHCB:0000186713","s.n.","BHCB - Herbário da Universidade Federal de Minas Gerais","Mariana","","pt","BHCB",1587292585,"BRA:UFMG:BHCB:0000186713","Collection","Vidal, CV","186713","Universidade Federal de Minas Gerais (UFMG)","Universidade Federal de Minas Gerais (UFMG)","","","SOUTH_AMERICA","","",NA,"","","",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","Mariana","Minas Gerais","brazil",2315,"Mariana",3140001,-43.332093,-20.329725,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-20.165278,-43.431111,"original coordinates","original coordinates OK"
"9","Eremanthus erythropappus",1423926591,-22.964167,-43.256944,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:35:27.969+0000","2018-09-24T19:58:01.918+0000",207,"none","PRESERVED_SPECIMEN",3133616,6,7707728,220,414,3065,3133590,3133616,3133616,"Eremanthus erythropappus (DC.) MacLeish","Eremanthus erythropappus (DC.) MacLeish","Plantae","Tracheophyta","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Eremanthus","erythropappus","SPECIES","ACCEPTED","2017-08-23T00:00:00",620,NA,"Rio de Janeiro",2016,7,12,"2016-07-12T00:00:00","2017-10-08T21:11:26.135+0000","2018-12-06T16:55:34.635+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1174097","593","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Rio de Janeiro","Trilha para o Morro Queimado, próximo à Pedra da Proa. Parque Nacional da Tijuca","","RB",1423926591,"urn:catalog:JBRJ:RB:1174097","PhysicalObject","C.Baez; Rafael Gomes, Patrícia da Rosa, Mássimo Bovini e Carlos Ferreira","RB01174097","JBRJ","","Terrícola, heliófila. Folhas marcadamente discolores, face abaxial alvacenta. Brácteas florais verdes. Inflorescências alvas","N.ROQUE &M.ALVES","","RB 659168","",NA,"","","",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","Rio de Janeiro","Rio de Janeiro","brazil",1360,"Rio de Janeiro",3304557,-43.45231,-22.924471,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-22.964167,-43.256944,"original coordinates","original coordinates OK"
"10","Eremanthus erythropappus",1423927575,-21.943611,-41.990833,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:35:29.251+0000","2018-09-24T19:58:02.370+0000",207,"none","PRESERVED_SPECIMEN",3133616,6,7707728,220,414,3065,3133590,3133616,3133616,"Eremanthus erythropappus (DC.) MacLeish","Eremanthus erythropappus (DC.) MacLeish","Plantae","Tracheophyta","Asterales","Asteraceae","Eremanthus","Eremanthus erythropappus","Eremanthus","erythropappus","SPECIES","ACCEPTED","2017-08-23T00:00:00",1100,NA,"Rio de Janeiro",2016,8,30,"2016-08-30T00:00:00","2017-10-15T11:53:33.075+0000","2018-12-06T16:55:35.293+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1176445","1098","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Santa Maria Madalena","Pedra Dubois. Colo entre o primeiro morro antes da Pedra Dubois (falso cume) e a pedra. Área adjacente ao Parque Estadual do Desengano. Fazenda Dibuá.","","RB",1423927575,"urn:catalog:JBRJ:RB:1176445","PhysicalObject","P.Rosa; C. Baez, T. Lima & D. Maurenza","RB01176445","JBRJ","","Terrícola, heliófila, arbusto. Ramos castanhos, folhas verdes, discolores, face adaxial mais escura e brilhante, face abaxial verde-clara com indumento alvacento e nervuras castanhas. Inflorescência com brácteas involucrais castanhas e frutos com pápus pardacento. Abundante na área.","N.ROQUE &M.ALVES","","RB 659717","",NA,"","","",NA,NA,"","","","","","","","",NA,NA,"","",NA,"","","","","","","","","","","","","","Santa Maria Madalena","Rio de Janeiro","brazil",1716,"Santa Maria Madalena",3304607,-41.912957,-21.969462,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-21.943611,-41.990833,"original coordinates","original coordinates OK"
