"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","continent","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","otherCatalogNumbers","elevation","elevationAccuracy","fieldNotes","individualCount","references","habitat","nomenclaturalCode","institutionID","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","collectionID","nomenclaturalStatus","taxonID","bibliographicCitation","coordinateUncertaintyInMeters","verbatimElevation","georeferenceProtocol","georeferenceSources","georeferencedDate","higherGeography","fieldNumber","organismID","datasetID","accessRights","higherClassification","identificationRemarks","verbatimTaxonRank","verbatimLocality","typeStatus","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Jacaranda obovata",1324589829,-10.2808,-36.3621,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:04.413+0000","2018-09-24T19:50:17.816+0000",132,"none","PRESERVED_SPECIMEN",7397864,6,7707728,220,408,6655,3172498,7397864,7397864,"Jacaranda obovata Cham.","Jacaranda obovata Cham.","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Jacaranda","Jacaranda obovata","Jacaranda","obovata","SPECIES","ACCEPTED","2016-05-18T00:00:00","SOUTH_AMERICA","Sergipe",2016,4,19,"2016-04-19T00:00:00","2018-08-31T18:22:16.000+0000","2018-12-06T08:55:06.954+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000037104","127","ASE - Herbário da Universidade Federal de Sergipe","Pacatuba","Povoado Poção","pt","ASE",1324589829,"BRA:UFS:ASE:0000037104","Collection","Santos, E; Farias, MCV; Figueiredo, MAM","37104","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Arbusto. Ca. de 1,5 m. Flores lilases. Frutos imaturos verdes e maduros castanhos.; Restinga","Santana-Júnior, JA","",NA,NA,"",NA,"","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","",NA,"Pacatuba","Sergipe","brazil",3825,"Pacatuba",2804904,-36.64641,-10.518438,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-10.2808,-36.3621,"original coordinates","original coordinates outside municipality original in pacatuba falls in feliz deserto"
"2","Jacaranda obovata",1213517736,-10.3757,-36.5259,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:03.705+0000","2018-09-24T19:50:16.582+0000",132,"none","PRESERVED_SPECIMEN",7397864,6,7707728,220,408,6655,3172498,7397864,7397864,"Jacaranda obovata Cham.","Jacaranda obovata Cham.","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Jacaranda","Jacaranda obovata","Jacaranda","obovata","SPECIES","ACCEPTED","2015-11-10T00:00:00","SOUTH_AMERICA","Sergipe",2015,7,27,"2015-07-27T00:00:00","","2018-09-24T19:50:20.553+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000034660","245","ASE - Herbário da Universidade Federal de Sergipe","Japaratuba","Povoado São José, No entorno da Caverna Casa do Caboclo","pt","ASE",1213517736,"BRA:UFS:ASE:0000034660","Collection","Santana Júnior, JA; Figueiredo, MAM","34660","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Arbusto. Aproximadamente 2 m. Flores lilás.; Mata Atlântica.","Santana Júnior, JA","",NA,NA,"",NA,"","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","",NA,"Japaratuba","Sergipe","brazil",3821,"Japaratuba",2803302,-36.901873,-10.554115,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-10.3757,-36.5259,"original coordinates","original coordinates outside municipality original in japaratuba falls in penedo"
"3","Jacaranda obovata",1213517596,-10.4107,-37.253,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:03.656+0000","2018-09-24T19:50:16.515+0000",132,"none","PRESERVED_SPECIMEN",7397864,6,7707728,220,408,6655,3172498,7397864,7397864,"Jacaranda obovata Cham.","Jacaranda obovata Cham.","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Jacaranda","Jacaranda obovata","Jacaranda","obovata","SPECIES","ACCEPTED","2015-09-21T00:00:00","SOUTH_AMERICA","Sergipe",2015,9,16,"2015-09-16T00:00:00","","2018-09-24T19:50:20.413+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000034572","46","ASE - Herbário da Universidade Federal de Sergipe","Itabaiana","Serra de Itabaiana, Próximo à sede administrativa","pt","ASE",1213517596,"BRA:UFS:ASE:0000034572","Collection","Silva, BD; Santos, E","34572","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Árvore,possui folhas compostas bipinadas, flores vinho grandes com estames brancos e com botões florais, com cerca de 4 metros.","Silva, BD","",NA,NA,"",NA,"","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","",NA,"Itabaiana","Sergipe","brazil",3794,"Itabaiana",2802908,-37.421727,-10.685911,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-10.4107,-37.253,"original coordinates","original coordinates outside municipality original in itabaiana falls in nossa senhora das dores"
"4","Jacaranda obovata",1264696174,-10.3758,-36.5257,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:03.938+0000","2018-09-24T19:50:16.951+0000",132,"none","PRESERVED_SPECIMEN",7397864,6,7707728,220,408,6655,3172498,7397864,7397864,"Jacaranda obovata Cham.","Jacaranda obovata Cham.","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Jacaranda","Jacaranda obovata","Jacaranda","obovata","SPECIES","ACCEPTED","2015-11-10T00:00:00","SOUTH_AMERICA","Sergipe",2015,11,6,"2015-11-06T00:00:00","2018-08-31T18:22:16.000+0000","2018-12-08T13:34:52.406+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000035463","460","ASE - Herbário da Universidade Federal de Sergipe","Japaratuba","Povoado São José, No entorno da Caverna das Vespas","pt","ASE",1264696174,"BRA:UFS:ASE:0000035463","Collection","Santana Júnior, JA; Schettino, SC; Figueiredo, MAM","35463","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Arbusto. Aproximadamernte 1,90 m. Frutos imaturos verdes.; Mata Atlântica","Santana Júnior, JA","",NA,NA,"",NA,"","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","",NA,"Japaratuba","Sergipe","brazil",3821,"Japaratuba",2803302,-36.901873,-10.554115,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-10.3758,-36.5257,"original coordinates","original coordinates outside municipality original in japaratuba falls in penedo"
"5","Jacaranda obovata",1563894802,-15.659722,-39.059444,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:01.557+0000","2018-09-24T19:58:43.417+0000",207,"none","PRESERVED_SPECIMEN",7397864,6,7707728,220,408,6655,3172498,7397864,7397864,"Jacaranda obovata Cham.","Jacaranda obovata Cham.","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Jacaranda","Jacaranda obovata","Jacaranda","obovata","SPECIES","ACCEPTED","none","","Bahia",2014,11,18,"2014-11-18T00:00:00","","2018-12-07T14:56:02.699+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1324195","232","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Canavieiras","Conglomerado BA_1363-2-4-9","","RB",1563894802,"urn:catalog:JBRJ:RB:1324195","PhysicalObject","Rocha, F. O.","RB01324195","JBRJ","","Árvore, exsudado não observado. Casca externa marrom e grossa, casca interna marrom, tipo: laminada, desprendimento: placas lenhosas, sem odor. Sem Frutos. Duplicatas: RB","L. Daneu & C. O. Andrino","RB 731791",NA,NA,"",NA,"","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","",NA,"Canavieiras","Bahia","brazil",3128,"Canavieiras",2906303,-39.119706,-15.653471,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-15.659722,-39.059444,"original coordinates","original coordinates OK"
"6","Jacaranda obovata",1087695144,-10.3536,-36.5624,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:03.008+0000","2018-09-24T19:50:15.556+0000",132,"none","PRESERVED_SPECIMEN",7397864,6,7707728,220,408,6655,3172498,7397864,7397864,"Jacaranda obovata Cham.","Jacaranda obovata Cham.","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Jacaranda","Jacaranda obovata","Jacaranda","obovata","SPECIES","ACCEPTED","2015-01-12T00:00:00","SOUTH_AMERICA","Sergipe",2014,12,15,"2014-12-15T00:00:00","2018-08-31T18:22:16.000+0000","2018-12-08T13:06:02.621+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000032711","83","ASE - Herbário da Universidade Federal de Sergipe","Japaratuba","Povoado São José, No entorno da Caverna Casa do Caboclo","pt","ASE",1087695144,"BRA:UFS:ASE:0000032711","Collection","Santana Júnior, JA; Silva, EJ; Santos, E","32711","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Arbusto. Aproximadamente 2 m. Flor lilás.; Mata Atlântica.","Santana Júnior, JA","",NA,NA,"",NA,"","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","",NA,"Japaratuba","Sergipe","brazil",3821,"Japaratuba",2803302,-36.901873,-10.554115,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-10.3536,-36.5624,"original coordinates","original coordinates outside municipality original in japaratuba falls in penedo"
"7","Jacaranda obovata",1094906532,-12.25,-37.883333,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:45.911+0000","2018-09-10T18:27:28.663+0000",124,"none","PRESERVED_SPECIMEN",7397864,6,7707728,220,408,6655,3172498,7397864,7397864,"Jacaranda obovata Cham.","Jacaranda obovata Cham.","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Jacaranda","Jacaranda obovata","Jacaranda","obovata","SPECIES","ACCEPTED","none","","Bahia",2012,7,31,"2012-07-31T00:00:00","","2018-09-10T18:27:54.803+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000189637","1193","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Entre Rios","Areial.","pt","HUEFS",1094906532,"BRA:UEFS:HUEFS:0000189637","Collection","Popovkin, A.V.","189637","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","","",NA,NA,"",NA,"","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","",NA,"Entre Rios","Bahia","brazil",3584,"Entre Rios",2910503,-38.042945,-12.073204,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.25,-37.883333,"original coordinates","original coordinates OK"
"8","Jacaranda obovata",1096933216,-19.197639,-39.881806,"gass84","86894738-457d-4d25-89ca-d05231a02d46","c38fb00b-8564-406c-b05b-2720815a0bd0","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:17:35.552+0000","2018-02-15T04:28:52.921+0000",138,"none","PRESERVED_SPECIMEN",7397864,6,7707728,220,408,6655,3172498,7397864,7397864,"Jacaranda obovata Cham.","Jacaranda obovata Cham.","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Jacaranda","Jacaranda obovata","Jacaranda","obovata","SPECIES","ACCEPTED","2012-07-16T00:00:00","SOUTH_AMERICA","Espírito Santo",2012,7,10,"2012-07-10T00:00:00","","2018-07-07T13:13:02.843+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CVRD - Herbário da Reserva Natural Vale","BRA:CVRD:CVRD:0000013826","758","CVRD - Herbário da Reserva Natural Vale","LINHARES","","pt","CVRD",1096933216,"BRA:CVRD:CVRD:0000013826","Collection","Siqueira, G.S.","13826","Reserva Natural Vale (CVRD)","Reserva Natural Vale (CVRD)","entrado pela porteira 30 metros a esquerda. <ll>dwc_commonname:</ll> Caroba do nativo","Geovane S. Siqueira","",22,0,"",NA,"","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","",NA,"LINHARES","Espírito Santo","brazil",2565,"Linhares",3203205,-40.028138,-19.38214,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-19.197639,-39.881806,"original coordinates","original coordinates OK"
"9","Jacaranda obovata",1587317841,-10.682222,-36.728889,"gass84","a0cb1f6e-5766-4cc5-a8a0-cfc6a22c5c3d","81114709-2a6c-4e0b-908b-cb207a8708c2","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:11.026+0000","2018-11-23T18:21:11.077+0000",125,"none","PRESERVED_SPECIMEN",7397864,6,7707728,220,408,6655,3172498,7397864,7397864,"Jacaranda obovata Cham.","Jacaranda obovata Cham.","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Jacaranda","Jacaranda obovata","Jacaranda","obovata","SPECIES","ACCEPTED","none","","Alagoas",2012,8,21,"2012-08-21T00:00:00","","2018-11-23T18:22:04.684+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas","BRA:IMA:MAC:0000056145","46","MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas","Piaçabuçu","Várzea da Marituba.","pt","MAC",1587317841,"BRA:IMA:MAC:0000056145","Collection","C.B.L.Araújo; M.J.Silva; R.L.Silva","56145","IMA","Instituto do Meio Ambiente do Estado de Alagoas, IMA","Arbusto. Flores roxas.; Restinga.","M.C.S.Mota","",NA,NA,"",NA,"","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","",NA,"Piaçabuçu","Alagoas","brazil",3846,"Piaçabuçu",2706802,-36.402349,-10.388431,"ALAGOAS","AL","Alagoas",-36.62362821,-9.51494324,"Alagoas","al",-10.682222,-36.728889,"original coordinates","original coordinates outside Brazil"
"10","Jacaranda obovata",1890644638,-18.705278,-39.789167,"gass84","4d0fa690-1551-46f0-9a22-acfec0e00dd0","503e9b26-09b5-4c40-b42a-bb476319a8ad","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:17:07.609+0000","2018-10-09T15:49:00.652+0000",142,"none","PRESERVED_SPECIMEN",7397864,6,7707728,220,408,6655,3172498,7397864,7397864,"Jacaranda obovata Cham.","Jacaranda obovata Cham.","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Jacaranda","Jacaranda obovata","Jacaranda","obovata","SPECIES","ACCEPTED","none","","Espírito Santo",2012,10,7,"2012-10-07T00:00:00","2018-10-03T13:49:39.000+0000","2018-12-08T13:12:41.137+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","VIES - Herbário Central da Universidade Federal do Espírito Santo VIES","BRA:UFES:VIES:0000025864","3484","VIES - Herbário Central da Universidade Federal do Espírito Santo VIES","Conceição da Barra","APA de Conceição da Barra - Morcego (Laje).","pt","VIES",1890644638,"BRA:UFES:VIES:0000025864","Collection","Assis, A.M.; Santos, J.","25864","UFES","Universidade Federal do Espírito Santo, UFES","Arbusto. Flor lilás. Frutos verdes. Floresta ombrófila densa aluvial.","","",8,0,"",NA,"","","","","",NA,"","",NA,"","",NA,"",NA,"","","","","","",NA,"","","",NA,"","","",NA,"Conceição da Barra","Espírito Santo","brazil",2736,"Conceição da Barra",3201605,-39.832833,-18.445026,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-18.705278,-39.789167,"original coordinates","original coordinates OK"
