"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","stateProvince.original","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","otherCatalogNumbers","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","elevation","elevationAccuracy","continent","modified","references","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","verbatimElevation","collectionID","habitat","individualCount","nomenclaturalStatus","taxonID","bibliographicCitation","higherGeography","organismID","datasetID","accessRights","higherClassification","georeferencedDate","georeferenceProtocol","georeferenceSources","fieldNumber","eventRemarks","identificationRemarks","coordinateUncertaintyInMeters","typeStatus","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Tabebuia elliptica",1944983454,-12.211111,-38.2025,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:55.278+0000","2018-11-24T12:34:55.302+0000",122,"none","PRESERVED_SPECIMEN",4093994,6,7707728,220,408,6655,3172523,4093994,4093994,"Tabebuia elliptica (DC.) Sandwith","Tabebuia elliptica (DC.) Sandwith","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Tabebuia","Tabebuia elliptica","Tabebuia","elliptica","SPECIES","ACCEPTED","none","Bahia",2016,2,29,"2016-02-29T00:00:00","2018-11-24T12:36:01.826+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000153257","148","CEPEC - Herbário do Centro de Pesquisas do Cacau","araçás","Conglomerado BA_723-2-10-39","pt","CEPEC",1944983454,"BRA:CEPLAC:CEPEC:0000153257","Collection","Schulte, T.F.","153257","2/6/2017","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","<ll>dwc_commonname:</ll>","R. Asprino & C. Pessoa",NA,NA,"","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","","","",NA,"",NA,"araçás","Bahia","brazil",3570,"Araças",2902054,-38.214061,-12.177535,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.211111,-38.2025,"original coordinates","original coordinates OK"
"2","Tabebuia elliptica",1944983265,-13.030278,-39.604722,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:55.021+0000","2018-11-24T12:34:55.051+0000",122,"none","PRESERVED_SPECIMEN",4093994,6,7707728,220,408,6655,3172523,4093994,4093994,"Tabebuia elliptica (DC.) Sandwith","Tabebuia elliptica (DC.) Sandwith","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Tabebuia","Tabebuia elliptica","Tabebuia","elliptica","SPECIES","ACCEPTED","none","Bahia",2016,2,22,"2016-02-22T00:00:00","2018-11-24T12:36:01.792+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000153196","87","CEPEC - Herbário do Centro de Pesquisas do Cacau","AMARGOSA","Conglomerado BA_899-4-8-34","pt","CEPEC",1944983265,"BRA:CEPLAC:CEPEC:0000153196","Collection","Schulte, T.F.","153196","6/6/2017","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","<ll>dwc_commonname:</ll>","R. Asprino",NA,NA,"","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","","","",NA,"",NA,"AMARGOSA","Bahia","brazil",3456,"Amargosa",2901007,-39.634397,-13.037279,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.030278,-39.604722,"original coordinates","original coordinates OK"
"3","Tabebuia elliptica",1944983748,-12.771944,-39.523333,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:55.677+0000","2018-11-24T12:34:55.719+0000",122,"none","PRESERVED_SPECIMEN",4093994,6,7707728,220,408,6655,3172523,4093994,4093994,"Tabebuia elliptica (DC.) Sandwith","Tabebuia elliptica (DC.) Sandwith","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Tabebuia","Tabebuia elliptica","Tabebuia","elliptica","SPECIES","ACCEPTED","none","Bahia",2016,2,24,"2016-02-24T00:00:00","2018-11-24T12:36:02.009+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000153707","1304","CEPEC - Herbário do Centro de Pesquisas do Cacau","SANTA TEREsINHA","Conglomerado BA_855_P8-3-10-35","pt","CEPEC",1944983748,"BRA:CEPLAC:CEPEC:0000153707","Collection","Santos, E.A.","153707","6/6/2017","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","<ll>dwc_commonname:</ll>","R. Asprino",NA,NA,"","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","","","",NA,"",NA,"SANTA TEREsINHA","Bahia","brazil",3501,"Santa Teresinha",2928505,-39.570568,-12.729871,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.771944,-39.523333,"original coordinates","original coordinates OK"
"4","Tabebuia elliptica",1944983457,-12.530278,-38.299167,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:55.282+0000","2018-11-24T12:34:55.310+0000",122,"none","PRESERVED_SPECIMEN",4093994,6,7707728,220,408,6655,3172523,4093994,4093994,"Tabebuia elliptica (DC.) Sandwith","Tabebuia elliptica (DC.) Sandwith","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Tabebuia","Tabebuia elliptica","Tabebuia","elliptica","SPECIES","ACCEPTED","none","Bahia",2016,3,8,"2016-03-08T00:00:00","2018-11-24T12:36:01.830+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000153362","253","CEPEC - Herbário do Centro de Pesquisas do Cacau","MATA DE SÃO JOÃO","Conglomerado BA_770-4-4-15","pt","CEPEC",1944983457,"BRA:CEPLAC:CEPEC:0000153362","Collection","Schulte, T.F.","153362","2/6/2017","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","<ll>dwc_commonname:</ll>","R. Asprino & L. Daneu",NA,NA,"","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","","","",NA,"",NA,"MATA DE SÃO JOÃO","Bahia","brazil",3532,"Mata de São João",2921005,-38.14797,-12.478165,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.530278,-38.299167,"original coordinates","original coordinates OK"
"5","Tabebuia elliptica",1944983409,-12.530278,-38.299167,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:55.215+0000","2018-11-24T12:34:55.250+0000",122,"none","PRESERVED_SPECIMEN",4093994,6,7707728,220,408,6655,3172523,4093994,4093994,"Tabebuia elliptica (DC.) Sandwith","Tabebuia elliptica (DC.) Sandwith","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Tabebuia","Tabebuia elliptica","Tabebuia","elliptica","SPECIES","ACCEPTED","none","Bahia",2016,3,8,"2016-03-08T00:00:00","2018-11-24T12:36:01.817+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000153376","267","CEPEC - Herbário do Centro de Pesquisas do Cacau","MATA DE SÃO JOÃO","Conglomerado BA_770-4-10-69","pt","CEPEC",1944983409,"BRA:CEPLAC:CEPEC:0000153376","Collection","Schulte, T.F.","153376","2/6/2017","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","<ll>dwc_commonname:</ll>","R. Asprino & C. Pessoa",NA,NA,"","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","","","",NA,"",NA,"MATA DE SÃO JOÃO","Bahia","brazil",3532,"Mata de São João",2921005,-38.14797,-12.478165,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.530278,-38.299167,"original coordinates","original coordinates OK"
"6","Tabebuia elliptica",1944983359,-12.135556,-38.419167,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:55.154+0000","2018-11-24T12:34:55.177+0000",122,"none","PRESERVED_SPECIMEN",4093994,6,7707728,220,408,6655,3172523,4093994,4093994,"Tabebuia elliptica (DC.) Sandwith","Tabebuia elliptica (DC.) Sandwith","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Tabebuia","Tabebuia elliptica","Tabebuia","elliptica","SPECIES","ACCEPTED","none","Bahia",2016,3,4,"2016-03-04T00:00:00","2018-11-24T12:36:01.823+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000153332","223","CEPEC - Herbário do Centro de Pesquisas do Cacau","alagoinhas","Conglomerado BA_674-4-10-9RN","pt","CEPEC",1944983359,"BRA:CEPLAC:CEPEC:0000153332","Collection","Schulte, T.F.","153332","2/6/2017","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","<ll>dwc_commonname:</ll>","R. Asprino & C. Pessoa",NA,NA,"","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","","","",NA,"",NA,"alagoinhas","Bahia","brazil",3580,"Alagoinhas",2900702,-38.399441,-12.109646,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.135556,-38.419167,"original coordinates","original coordinates OK"
"7","Tabebuia elliptica",1324953896,-12.917778,-38.326667,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:54.041+0000","2018-12-03T16:16:20.695+0000",122,"none","PRESERVED_SPECIMEN",4093994,6,7707728,220,408,6655,3172523,4093994,4093994,"Tabebuia elliptica (DC.) Sandwith","Tabebuia elliptica (DC.) Sandwith","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Tabebuia","Tabebuia elliptica","Tabebuia","elliptica","SPECIES","ACCEPTED","2016-08-01T00:00:00","Bahia",2016,8,13,"2016-08-13T00:00:00","2018-12-06T08:58:00.502+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000125327","12","ALCB - Herbário Alexandre Leal Costa","Salvador","Parque das Dunas","pt","ALCB",1324953896,"BRA:UFBA:ALCB:0000125327","Collection","Sousa, TS","125327","","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","Terrícola. Folhas verdes. Arvoreta. Casca pouco rugosa. Forófito de Brassavola tuberculata hook. Datum: WGS-84.&nf;; Mata de restinga","Sousa, TS",30,0,"SOUTH_AMERICA","2018-08-28T19:00:25.000+0000","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","","","",NA,"",NA,"Salvador","Bahia","brazil",3474,"Salvador",2927408,-38.51033,-12.871185,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.917778,-38.326667,"original coordinates","original coordinates OK"
"8","Tabebuia elliptica",1657212768,-11.858586,-37.953039,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:04.742+0000","2018-09-24T19:50:18.229+0000",132,"none","PRESERVED_SPECIMEN",4093994,6,7707728,220,408,6655,3172523,4093994,4093994,"Tabebuia elliptica (DC.) Sandwith","Tabebuia elliptica (DC.) Sandwith","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Tabebuia","Tabebuia elliptica","Tabebuia","elliptica","SPECIES","ACCEPTED","none","Sergipe",2015,3,31,"2015-03-31T00:00:00","2018-12-10T06:05:05.345+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000038136","219","ASE - Herbário da Universidade Federal de Sergipe","São Cristóvão","Rodovia João Bebe Água","pt","ASE",1657212768,"BRA:UFS:ASE:0000038136","Collection","Santos, E; Andrade, RS","38136","","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Árvore. Ca. de 4 m. Sementes aladas.; Mata Atlântica","Andrade, RS",NA,NA,"SOUTH_AMERICA","2018-08-31T18:22:18.000+0000","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","","","",NA,"",NA,"São Cristóvão","Sergipe","brazil",3751,"São Cristóvão",2806701,-37.219589,-10.961177,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-11.858586,-37.953039,"original coordinates","original coordinates outside municipality original in sao cristovao falls in esplanada"
"9","Tabebuia elliptica",1275054409,-10.2758,-36.2907,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:04.219+0000","2018-09-24T19:50:17.472+0000",132,"none","PRESERVED_SPECIMEN",4093994,6,7707728,220,408,6655,3172523,4093994,4093994,"Tabebuia elliptica (DC.) Sandwith","Tabebuia elliptica (DC.) Sandwith","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Tabebuia","Tabebuia elliptica","Tabebuia","elliptica","SPECIES","ACCEPTED","none","Sergipe",2015,10,9,"2015-10-09T00:00:00","2018-09-24T19:50:21.230+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000036447","103","ASE - Herbário da Universidade Federal de Sergipe","Brejo Grande","Brejo dos Negros","pt","ASE",1275054409,"BRA:UFS:ASE:0000036447","Collection","Figueiredo, MA; Farias, MCV","36447","","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Trepadeira. Flores rosas. Frutos imaturos verdes.; Restinga","",NA,NA,"SOUTH_AMERICA","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","","","",NA,"",NA,"Brejo Grande","Sergipe","brazil",3830,"Brejo Grande",2800704,-36.474874,-10.478016,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-10.2758,-36.2907,"original coordinates","original coordinates outside municipality original in brejo grande falls in feliz deserto"
"10","Tabebuia elliptica",1095811417,-10.918056,-37.65,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:03.358+0000","2018-09-24T19:50:16.059+0000",132,"none","PRESERVED_SPECIMEN",4093994,6,7707728,220,408,6655,3172523,4093994,4093994,"Tabebuia elliptica (DC.) Sandwith","Tabebuia elliptica (DC.) Sandwith","Plantae","Tracheophyta","Lamiales","Bignoniaceae","Tabebuia","Tabebuia elliptica","Tabebuia","elliptica","SPECIES","ACCEPTED","2015-05-12T00:00:00","Sergipe",2014,1,20,"2014-01-20T00:00:00","2018-09-24T19:50:20.007+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000033822","625","ASE - Herbário da Universidade Federal de Sergipe","Lagarto","Solo úmido, argiloso. Muita matéria orgânica. Afloramento rochoso, vegetação arbórea extrato médio.","pt","ASE",1095811417,"BRA:UFS:ASE:0000033822","Collection","Pimenta, KM","33822","","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Árvore, com aproximadamente 9,5 metros, casca externa cinza rosado e interna grossa e de cor amarelada. Número do conglomerado:139, coordenadas do ponto central: E(0631111m) N(8785970m), número da subunidade: 01, número da subparcela:","Silva, ACC",NA,NA,"SOUTH_AMERICA","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","","","",NA,"",NA,"Lagarto","Sergipe","brazil",3757,"Lagarto",2803500,-37.66533,-10.901924,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-10.918056,-37.65,"original coordinates","original coordinates OK"
