"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","continent","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","elevation","elevationAccuracy","otherCatalogNumbers","fieldNotes","references","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","verbatimElevation","collectionID","georeferenceSources","individualCount","nomenclaturalStatus","taxonID","bibliographicCitation","habitat","coordinateUncertaintyInMeters","georeferenceProtocol","identificationQualifier","higherGeography","higherClassification","identificationRemarks","georeferencedDate","typeStatus","organismID","datasetID","accessRights","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Protium warmingianum",1324589805,-10.4517,-37.20264,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:04.446+0000","2018-09-24T19:50:17.809+0000",132,"none","PRESERVED_SPECIMEN",3992764,6,7707728,220,933,6659,7286732,3992764,3992764,"Protium warmingianum Marchand","Protium warmingianum Marchand","Plantae","Tracheophyta","Sapindales","Burseraceae","Protium","Protium warmingianum","Protium","warmingianum","SPECIES","ACCEPTED","2016-04-02T00:00:00","SOUTH_AMERICA","Sergipe",2016,4,2,"2016-04-02T00:00:00","2018-09-05T14:30:59.000+0000","2018-12-06T08:55:06.952+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000037140","1269","ASE - Herbário da Universidade Federal de Sergipe","Areia Branca","Parque Nacional Serra de Itabaiana ( PNSI)","pt","ASE",1324589805,"BRA:UFS:ASE:0000037140","Collection","Machado, WJ; Menezes, WDS","37140","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Arbusto, frutos (deiscentes) imaturos verdes.; ""Areias brancas"".","Machado, WJ",NA,NA,"","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","",NA,"","","Areia Branca","Sergipe","brazil",3769,"Areia Branca",2800506,-37.331991,-10.788646,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-10.4517,-37.20264,"original coordinates","original coordinates outside municipality original in areia branca falls in nossa senhora das dores"
"2","Protium warmingianum",1944965879,-15.298889,-39.004722,"gass84","a8e78a51-12b2-4ca1-8945-6d909022ef6a","6cc5aff1-f24c-4d67-a827-a666dc680b66","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:06.025+0000","2018-11-24T12:32:06.053+0000",121,"none","PRESERVED_SPECIMEN",3992764,6,7707728,220,933,6659,7286732,3992764,3992764,"Protium warmingianum Marchand","Protium warmingianum Marchand","Plantae","Tracheophyta","Sapindales","Burseraceae","Protium","Protium warmingianum","Protium","warmingianum","SPECIES","ACCEPTED","none","","Bahia",2016,11,2,"2016-11-02T00:00:00","","2018-11-24T12:32:10.209+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HURB - Herbário do Recôncavo da Bahia","BRA:UFRB:HURB:0000021700","5261","HURB - Herbário do Recôncavo da Bahia","Una","Distrito de Comandatuba; Fazenda Itapororoca, Aréa de Preservação Permanente (APP)","pt","HURB",1944965879,"BRA:UFRB:HURB:0000021700","Collection","Mattos Silva, L.A.; Paixão, J.L. & Silva, A.M.","21700","UFRB","Universidade Federal do Recôncavo da Bahia (UFRB)","UESC 21795/ Resina incolor na casca do caule com cheiro atrativoFlores: estéril; Hábito: árvore","",8,0,"","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","",NA,"","","Una","Bahia","brazil",3186,"Una",2932507,-39.154571,-15.224128,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-15.298889,-39.004722,"original coordinates","original coordinates OK"
"3","Protium warmingianum",1135077545,-12.166667,-37.966667,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:55.741+0000","2018-09-10T18:27:42.093+0000",124,"none","PRESERVED_SPECIMEN",3992764,6,7707728,220,933,6659,7286732,3992764,3992764,"Protium warmingianum Marchand","Protium warmingianum Marchand","Plantae","Tracheophyta","Sapindales","Burseraceae","Protium","Protium warmingianum","Protium","warmingianum","SPECIES","ACCEPTED","none","","Bahia",2015,1,14,"2015-01-14T00:00:00","","2018-09-10T18:28:08.842+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000213983","1861","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Entre Rios","Algodão.","pt","HUEFS",1135077545,"BRA:UEFS:HUEFS:0000213983","Collection","Popovkin, A.V.","213983","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","",120,0,"","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","",NA,"","","Entre Rios","Bahia","brazil",3584,"Entre Rios",2910503,-38.042945,-12.073204,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.166667,-37.966667,"original coordinates","original coordinates OK"
"4","Protium warmingianum",1893216385,-18.085555,-39.683056,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:28.698+0000","2018-09-24T19:59:08.984+0000",207,"none","PRESERVED_SPECIMEN",3992764,6,7707728,220,933,6659,7286732,3992764,3992764,"Protium warmingianum Marchand","Protium warmingianum Marchand","Plantae","Tracheophyta","Sapindales","Burseraceae","Protium","Protium warmingianum","Protium","warmingianum","SPECIES","ACCEPTED","none","","Bahia",2014,2,1,"2014-02-01T00:00:00","","2018-12-08T04:47:58.876+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1395770","57","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Mucuri","Assentamento Paulo Freire. Núcleo Sapucaia, Matriz 57.","","RB",1893216385,"urn:catalog:JBRJ:RB:1395770","PhysicalObject","Grupo de Coletores do Núcleo Sapucaia","RB01395770","JBRJ","","","",NA,NA,"RB 773095","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","",NA,"","","Mucuri","Bahia","brazil",2791,"Mucuri",2922003,-39.867195,-18.058631,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-18.085555,-39.683056,"original coordinates","original coordinates OK"
"5","Protium warmingianum",1899818487,-15.818611,-39.243889,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:52.977+0000","2018-12-03T16:15:52.183+0000",122,"none","PRESERVED_SPECIMEN",3992764,6,7707728,220,933,6659,7286732,3992764,3992764,"Protium warmingianum Marchand","Protium warmingianum Marchand","Plantae","Tracheophyta","Sapindales","Burseraceae","Protium","Protium warmingianum","Protium","warmingianum","SPECIES","ACCEPTED","2013-11-01T00:00:00","SOUTH_AMERICA","Bahia",2013,3,25,"2013-03-25T00:00:00","2018-08-28T19:00:56.000+0000","2018-12-03T16:16:08.881+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000121225","1444","ALCB - Herbário Alexandre Leal Costa","Belmonte","","pt","ALCB",1899818487,"BRA:UFBA:ALCB:0000121225","Collection","Gomes, FS","121225","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","Folhas com grandes folíolos coriáceos, discolores. Parcela 05.","Gomes, FS",NA,NA,"","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","",NA,"","","Belmonte","Bahia","brazil",3079,"Belmonte",2903409,-39.185654,-15.936505,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-15.818611,-39.243889,"original coordinates","original coordinates OK"
"6","Protium warmingianum",1899818528,-15.248056,-39.159444,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:52.989+0000","2018-12-03T16:15:52.635+0000",122,"none","PRESERVED_SPECIMEN",3992764,6,7707728,220,933,6659,7286732,3992764,3992764,"Protium warmingianum Marchand","Protium warmingianum Marchand","Plantae","Tracheophyta","Sapindales","Burseraceae","Protium","Protium warmingianum","Protium","warmingianum","SPECIES","ACCEPTED","2013-11-01T00:00:00","SOUTH_AMERICA","Bahia",2013,4,15,"2013-04-15T00:00:00","2018-08-28T19:00:56.000+0000","2018-12-03T16:16:10.726+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000121234","1453","ALCB - Herbário Alexandre Leal Costa","Una","","pt","ALCB",1899818528,"BRA:UFBA:ALCB:0000121234","Collection","Gomes, FS","121234","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","Folhas com folíolos cartáceos, discolores.","Gomes, FS",NA,NA,"","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","",NA,"","","Una","Bahia","brazil",3186,"Una",2932507,-39.154571,-15.224128,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-15.248056,-39.159444,"original coordinates","original coordinates OK"
"7","Protium warmingianum",1090894664,-12.931389,-46.938056,"gass84","86aea6d0-e340-4745-a596-3fc20f90a021","eae63642-6f0d-45b9-a079-6ecd34406631","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:29.737+0000","2018-10-24T18:22:16.595+0000",122,"none","PRESERVED_SPECIMEN",3992764,6,7707728,220,933,6659,7286732,3992764,3992764,"Protium warmingianum Marchand","Protium warmingianum Marchand","Plantae","Tracheophyta","Sapindales","Burseraceae","Protium","Protium warmingianum","Protium","warmingianum","SPECIES","ACCEPTED","2013-10-09T00:00:00","","Tocantins",2013,10,9,"2013-10-09T00:00:00","2018-10-19T18:21:37.000+0000","2018-12-09T06:15:05.333+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MAR - Herbário do Maranhão","BRA:UFMA:MAR:0000007617","42","MAR - Herbário do Maranhão","Arraias","Fazenda sossego, Vereda","pt","MAR",1090894664,"BRA:UFMA:MAR:0000007617","Collection","Soares, A. C. A.;Sampaio, R.; Oliveira, M.S.; Freire, E.","7617","UFMA","Universidade Federal do Maranhão (UFMA)","Árvore de 12 m de alt.; fruto verde imaturo","Oliveira, M. S.",NA,NA,"","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","",NA,"","","Arraias","Tocantins","brazil",3486,"Arraias",1702406,-47.047838,-12.817077,"TOCANTINS","TO","Tocantins",-48.32919432,-10.14913269,"Tocantins","to",-12.931389,-46.938056,"original coordinates","original coordinates OK"
"8","Protium warmingianum",1087538208,-13.717056,-39.637139,"gass84","d031156d-6ff8-4eb5-b91a-a50861e98be9","3a2b60a6-5c60-413a-8bff-a9740e774c09","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:31:33.923+0000","2018-11-24T12:31:34.011+0000",126,"none","PRESERVED_SPECIMEN",3992764,6,7707728,220,933,6659,7286732,3992764,3992764,"Protium warmingianum Marchand","Protium warmingianum Marchand","Plantae","Tracheophyta","Sapindales","Burseraceae","Protium","Protium warmingianum","Protium","warmingianum","SPECIES","ACCEPTED","none","","Bahia",2012,3,30,"2012-03-30T00:00:00","2018-11-22T19:51:35.000+0000","2018-12-08T13:05:02.819+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia","BRA:UESB:HUESB:0000007530","548","HUESB - Herbário da Universidade Estadual do Sudoeste da Bahia","Itamari","Fazenda Mesquita.","pt","HUESB",1087538208,"BRA:UESB:HUESB:0000007530","Collection","Oliveira, M.N.; Silva, G.S.; Silva, G.S.","7530","UESB","Universidade Estadual do Sudoeste da Bahia (UESB)","Árvore. Folhas simples, base do pecíolo dilatado, opostas, crassas, margem inteira.&nf;; Floresta Ombrófila Densa.","",9999,0,"","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","",NA,"","","Itamari","Bahia","brazil",3375,"Itamari",2915700,-39.659766,-13.768192,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.717056,-39.637139,"original coordinates","original coordinates OK"
"9","Protium warmingianum",1944982772,-15.173056,-39.132222,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:54.296+0000","2018-11-24T12:34:54.333+0000",122,"none","PRESERVED_SPECIMEN",3992764,6,7707728,220,933,6659,7286732,3992764,3992764,"Protium warmingianum Marchand","Protium warmingianum Marchand","Plantae","Tracheophyta","Sapindales","Burseraceae","Protium","Protium warmingianum","Protium","warmingianum","SPECIES","ACCEPTED","none","","Bahia",2012,10,18,"2012-10-18T00:00:00","","2018-11-24T12:36:01.493+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000152006","6","CEPEC - Herbário do Centro de Pesquisas do Cacau","UNA","Reserva Biológica de Una - Maruim","pt","CEPEC",1944982772,"BRA:CEPLAC:CEPEC:0000152006","Collection","Ferraço, L.F.","152006","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Observação de Frutificação: 19/01/2012 <ll>dwc_commonname:</ll>","",NA,NA,"30/11/2015","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","",NA,"","","UNA","Bahia","brazil",3186,"Una",2932507,-39.154571,-15.224128,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-15.173056,-39.132222,"original coordinates","original coordinates OK"
"10","Protium warmingianum",1087692139,-11.2,-37.233333,"gass84","76823beb-2f33-47a6-96a1-ccd2df47ac28","9243118c-e750-412b-91f4-ac987666eee1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:47:02.035+0000","2018-09-24T19:50:14.160+0000",132,"none","PRESERVED_SPECIMEN",3992764,6,7707728,220,933,6659,7286732,3992764,3992764,"Protium warmingianum Marchand","Protium warmingianum Marchand","Plantae","Tracheophyta","Sapindales","Burseraceae","Protium","Protium warmingianum","Protium","warmingianum","SPECIES","ACCEPTED","none","SOUTH_AMERICA","Sergipe",2011,2,28,"2011-02-28T00:00:00","2018-08-31T18:22:53.000+0000","2018-12-08T13:06:01.373+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ASE - Herbário da Universidade Federal de Sergipe","BRA:UFS:ASE:0000029285","29285","ASE - Herbário da Universidade Federal de Sergipe","Itaporanga d'Ajuda","Fazenda Trapsa, Entrada principal 3 km ao leste do Povoado Paruí e área de ocorrência do Callicebus coimbrai, primata ameaçado de extinção. Floresta estacional semidecidual.","pt","ASE",1087692139,"BRA:UFS:ASE:0000029285","Collection","Souza-Alves, JP","29285","Universidade Federal de Sergipe, UFS","Universidade Federal de Sergipe, UFS","Mata Atlântica.","",NA,NA,"","","","","","",NA,"","",NA,"","","",NA,"",NA,"","",NA,"","","","","","","",NA,"","","Itaporanga d'Ajuda","Sergipe","brazil",3733,"Itaporanga D'ajuda",2803203,-37.318178,-11.05724,"SERGIPE","SE","Sergipe",-37.44360505,-10.583842,"Sergipe","se",-11.2,-37.233333,"original coordinates","original coordinates OK"
