"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","continent","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","elevation","elevationAccuracy","infraspecificEpithet","otherCatalogNumbers","individualCount","preparations","habitat","higherGeography","georeferenceProtocol","eventRemarks","higherClassification","taxonRemarks","references","nomenclaturalCode","institutionID","verbatimEventDate","endDayOfYear","county","startDayOfYear","verbatimElevation","collectionID","coordinateUncertaintyInMeters","georeferenceSources","identificationRemarks","georeferencedDate","organismID","datasetID","accessRights","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Kielmeyera tomentosa",1889188979,-12.75,-41.766667,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:56.683+0000","2018-12-03T16:16:30.565+0000",122,"none","PRESERVED_SPECIMEN",3713461,6,7707728,220,1414,4907584,7330103,3713461,3713461,"Kielmeyera tomentosa Cambess.","Kielmeyera tomentosa Cambess.","Plantae","Tracheophyta","Malpighiales","Calophyllaceae","Kielmeyera","Kielmeyera tomentosa","Kielmeyera","tomentosa","SPECIES","ACCEPTED","2018-03-01T00:00:00","SOUTH_AMERICA","Bahia",2018,2,17,"2018-02-17T00:00:00","2018-08-28T19:01:12.000+0000","2018-12-03T16:17:57.981+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000132356","30286","ALCB - Herbário Alexandre Leal Costa","Palmeiras","Vale do Crecado.","pt","ALCB",1889188979,"BRA:UFBA:ALCB:0000132356","Collection","Guedes, ML; Guaré, F; Rocha, E","132356","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","latescente. Folhas coriáceas, discolores, face abaxial tomentosa. Fruto cápsula lenhosa, jovem.","Guedes, ML",NA,NA,"","",NA,"","","","","","","","","","","",NA,"",NA,"","",NA,"","","",NA,NA,NA,"Palmeiras","Bahia","brazil",3525,"Palmeiras",2923506,-41.55815,-12.545926,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.75,-41.766667,"original coordinates","original coordinates outside municipality original in palmeiras falls in boninal"
"2","Kielmeyera tomentosa",1095883007,-12.2715,-41.2826,"gass84","7741a517-ab3d-4b85-ae58-56322e44c8ce","d073b448-6b80-4364-8c38-18d08b88797f","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T13:51:54.219+0000","2018-12-03T16:41:06.466+0000",122,"none","PRESERVED_SPECIMEN",3713461,6,7707728,220,1414,4907584,7330103,3713461,3713461,"Kielmeyera tomentosa Cambess.","Kielmeyera tomentosa Cambess.","Plantae","Tracheophyta","Malpighiales","Calophyllaceae","Kielmeyera","Kielmeyera tomentosa","Kielmeyera","tomentosa","SPECIES","ACCEPTED","2015-03-15T00:00:00","","Bahia",2014,4,16,"2014-04-16T00:00:00","2018-11-21T16:23:06.000+0000","2018-12-03T16:42:03.212+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UEC - Herbário da Universidade Estadual de Campinas","BRA:UNICAMP:UEC:0000184855","384","UEC - Herbário da Universidade Estadual de Campinas","Palmeiras","Parque Municipal do Pai Inácio.","pt","UEC",1095883007,"BRA:UNICAMP:UEC:0000184855","Collection","Trad, R.J.; Kato, L.","184855","UNICAMP","Universidade Estadual de Campinas, UNICAMP","Arbusto ca.2 m. Frutos abertos. Látex alaranjado.; Cerrado","Trad, R.J.",1050,0,"","",NA,"","","","","","","","","","","",NA,"",NA,"","",NA,"","","",NA,NA,NA,"Palmeiras","Bahia","brazil",3525,"Palmeiras",2923506,-41.55815,-12.545926,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.2715,-41.2826,"original coordinates","original coordinates outside municipality original in palmeiras falls in lencois"
"3","Kielmeyera tomentosa",1095883132,-18.0656,-47.5336,"gass84","7741a517-ab3d-4b85-ae58-56322e44c8ce","d073b448-6b80-4364-8c38-18d08b88797f","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T13:51:54.166+0000","2018-12-03T16:41:06.122+0000",122,"none","PRESERVED_SPECIMEN",3713461,6,7707728,220,1414,4907584,7330103,3713461,3713461,"Kielmeyera tomentosa Cambess.","Kielmeyera tomentosa Cambess.","Plantae","Tracheophyta","Malpighiales","Calophyllaceae","Kielmeyera","Kielmeyera tomentosa","Kielmeyera","tomentosa","SPECIES","ACCEPTED","2015-03-15T00:00:00","","Goiás",2014,5,8,"2014-05-08T00:00:00","2018-11-21T16:23:06.000+0000","2018-12-03T16:42:02.527+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UEC - Herbário da Universidade Estadual de Campinas","BRA:UNICAMP:UEC:0000184994","398","UEC - Herbário da Universidade Estadual de Campinas","Catalão","BR-050 sentido Catalão-Brasília, km 271, margem direita. Área recém queimada.","pt","UEC",1095883132,"BRA:UNICAMP:UEC:0000184994","Collection","Trad, R.J.; Trad, M.F.D.J.","184994","UNICAMP","Universidade Estadual de Campinas, UNICAMP","Árvore ca. 5 m. Botões florais verdes e brancos. Flores com sépalas verdes e pétalas brancas; odor adocicado. Látex alaranjado.; Cerrado","Trad, R.J.",880,0,"","",NA,"","","","","","","","","","","",NA,"",NA,"","",NA,"","","",NA,NA,NA,"Catalão","Goiás","brazil",2800,"Catalão",5205109,-47.664115,-17.929283,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-18.0656,-47.5336,"original coordinates","original coordinates outside municipality original in catalao falls in davinopolis"
"4","Kielmeyera tomentosa",1095883153,-18.3042,-43.3934,"gass84","7741a517-ab3d-4b85-ae58-56322e44c8ce","d073b448-6b80-4364-8c38-18d08b88797f","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T13:51:54.323+0000","2018-12-03T16:41:06.228+0000",122,"none","PRESERVED_SPECIMEN",3713461,6,7707728,220,1414,4907584,7330103,3713461,3713461,"Kielmeyera tomentosa Cambess.","Kielmeyera tomentosa Cambess.","Plantae","Tracheophyta","Malpighiales","Calophyllaceae","Kielmeyera","Kielmeyera tomentosa","Kielmeyera","tomentosa","SPECIES","ACCEPTED","2015-03-15T00:00:00","","Minas Gerais",2014,11,14,"2014-11-14T00:00:00","2018-11-21T16:23:06.000+0000","2018-12-03T16:42:02.876+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UEC - Herbário da Universidade Estadual de Campinas","BRA:UNICAMP:UEC:0000185031","528","UEC - Herbário da Universidade Estadual de Campinas","Datas","BR-259 sentido Diamantina. Entre Presidente Kubitschek e Datas.","pt","UEC",1095883153,"BRA:UNICAMP:UEC:0000185031","Collection","Trad, R.J.; Lima, D.F.","185031","UNICAMP","Universidade Estadual de Campinas, UNICAMP","Árvore ca. 3 m. Botões florais verdes e brancos. Flores hermafroditas e masculinas com sépalas verdes e pétalas brancas; odor adocicado. Látex alaranjado.; Campo rupestre.","Trad, R.J.",1118,0,"","",NA,"","","","","","","","","","","",NA,"",NA,"","",NA,"","","",NA,NA,NA,"Datas","Minas Gerais","brazil",2728,"Datas",3121001,-43.647952,-18.470859,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-18.3042,-43.3934,"original coordinates","original coordinates outside municipality original in datas falls in serro"
"5","Kielmeyera tomentosa",1213654499,-15.683889,-48.270556,"gass84,iddatunl","d82d5a18-0428-4e52-be16-f509153e8126","e97090cb-7731-41c7-ac24-31a841730654","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:32.657+0000","2018-01-05T18:34:57.248+0000",114,"none","PRESERVED_SPECIMEN",3713461,6,7707728,220,1414,4907584,7330103,3713461,3713461,"Kielmeyera tomentosa Cambess.","Kielmeyera tomentosa Cambess.","Plantae","Tracheophyta","Malpighiales","Calophyllaceae","Kielmeyera","Kielmeyera tomentosa","Kielmeyera","tomentosa","SPECIES","ACCEPTED","2013-01-01T00:00:00","SOUTH_AMERICA","Goiás",2013,2,1,"2013-02-01T00:00:00","","2018-07-08T01:34:12.349+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UB - Herbário da Universidade de Brasília","BRA:UnB:UB:0000198046","178","UB - Herbário da Universidade de Brasília","Águas Lindas de Goiás","Padre Lúcio","pt","UB",1213654499,"BRA:UnB:UB:0000198046","Collection","Alkimim, W","198046","UnB","Universidade de Brasília (UnB)","Árvore 3m; Cerrado sensu stricto","Alkimim, W",9999,0,"","",NA,"","","","","","","","","","","",NA,"",NA,"","",NA,"","","",NA,NA,NA,"Águas Lindas de Goiás","Goiás","brazil",3106,"Águas Lindas de Goiás",5200258,-48.284937,-15.754096,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-15.683889,-48.270556,"original coordinates","original coordinates OK"
"6","Kielmeyera tomentosa",1213654494,-15.350278,-48.230556,"gass84,iddatunl","d82d5a18-0428-4e52-be16-f509153e8126","e97090cb-7731-41c7-ac24-31a841730654","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:32.685+0000","2018-01-05T18:34:57.237+0000",114,"none","PRESERVED_SPECIMEN",3713461,6,7707728,220,1414,4907584,7330103,3713461,3713461,"Kielmeyera tomentosa Cambess.","Kielmeyera tomentosa Cambess.","Plantae","Tracheophyta","Malpighiales","Calophyllaceae","Kielmeyera","Kielmeyera tomentosa","Kielmeyera","tomentosa","SPECIES","ACCEPTED","2013-01-01T00:00:00","SOUTH_AMERICA","Goiás",2013,2,10,"2013-02-10T00:00:00","","2018-07-08T01:34:12.357+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UB - Herbário da Universidade de Brasília","BRA:UnB:UB:0000198059","190","UB - Herbário da Universidade de Brasília","Padre Bernardo","Taboquinha","pt","UB",1213654494,"BRA:UnB:UB:0000198059","Collection","Alkimim, W","198059","UnB","Universidade de Brasília (UnB)","Árvore 3 m; Cerrado sensu stricto","Alkimim, W",9999,0,"","",NA,"","","","","","","","","","","",NA,"",NA,"","",NA,"","","",NA,NA,NA,"Padre Bernardo","Goiás","brazil",3160,"Padre Bernardo",5215603,-48.304649,-15.360738,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-15.350278,-48.230556,"original coordinates","original coordinates OK"
"7","Kielmeyera tomentosa",1095883035,-18.2554,-43.3954,"gass84","7741a517-ab3d-4b85-ae58-56322e44c8ce","d073b448-6b80-4364-8c38-18d08b88797f","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T13:51:54.061+0000","2018-12-03T16:41:06.138+0000",122,"none","PRESERVED_SPECIMEN",3713461,6,7707728,220,1414,4907584,7330103,3713461,3713461,"Kielmeyera tomentosa Cambess.","Kielmeyera tomentosa Cambess.","Plantae","Tracheophyta","Malpighiales","Calophyllaceae","Kielmeyera","Kielmeyera tomentosa","Kielmeyera","tomentosa","SPECIES","ACCEPTED","2015-03-15T00:00:00","","Minas Gerais",2013,12,2,"2013-12-02T00:00:00","2018-11-21T16:23:06.000+0000","2018-12-03T16:42:02.645+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UEC - Herbário da Universidade Estadual de Campinas","BRA:UNICAMP:UEC:0000184899","210","UEC - Herbário da Universidade Estadual de Campinas","Datas","MG-10, entre Conceição do Mato Dentro e Diamantina, região de Serro. Área com afloramento rochoso.","pt","UEC",1095883035,"BRA:UNICAMP:UEC:0000184899","Collection","Trad, R.J.; Trad, M.F.D.J.","184899","UNICAMP","Universidade Estadual de Campinas, UNICAMP","Árvore ca. 3,5 m. Flores com odor adocicado; sépalas verdes; pétalas brancas; ovário com tricomas. Látex alaranjado.; Campo rupestre.","Trad, R.J.",1260,0,"","",NA,"","","","","","","","","","","",NA,"",NA,"","",NA,"","","",NA,NA,NA,"Datas","Minas Gerais","brazil",2728,"Datas",3121001,-43.647952,-18.470859,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-18.2554,-43.3954,"original coordinates","original coordinates outside municipality original in datas falls in diamantina"
"8","Kielmeyera tomentosa",1913601263,-14.455,-42.539722,"gass84","a8e78a51-12b2-4ca1-8945-6d909022ef6a","6cc5aff1-f24c-4d67-a827-a666dc680b66","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:04.343+0000","2018-09-25T14:54:09.627+0000",121,"none","PRESERVED_SPECIMEN",3713461,6,7707728,220,1414,4907584,7330103,3713461,3713461,"Kielmeyera tomentosa Cambess.","Kielmeyera tomentosa Cambess.","Plantae","Tracheophyta","Malpighiales","Calophyllaceae","Kielmeyera","Kielmeyera tomentosa","Kielmeyera","tomentosa","SPECIES","ACCEPTED","2016-11-01T00:00:00","","Bahia",2012,10,29,"2012-10-29T00:00:00","2018-08-30T19:11:04.000+0000","2018-12-10T13:35:58.542+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HURB - Herbário do Recôncavo da Bahia","BRA:UFRB:HURB:0000019622","3814","HURB - Herbário do Recôncavo da Bahia","Licinio de Almeida","Serra Geral: São Domingos; Estrada em direção a Caetité","pt","HURB",1913601263,"BRA:UFRB:HURB:0000019622","Collection","Roque, N.; Stadnik, A.; Hurbath, F.; Borges, R.L. & Oliveira...","19622","UFRB","Universidade Federal do Recôncavo da Bahia (UFRB)","ALCB 108067Hábito: arbusto","M.L.Guedes",983,0,"","",NA,"","","","","","","","","","","",NA,"",NA,"","",NA,"","","",NA,NA,NA,"Licinio de Almeida","Bahia","brazil",3272,"Licínio de Almeida",2919405,-42.466395,-14.591223,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-14.455,-42.539722,"original coordinates","original coordinates outside municipality original in licinio de almeida falls in pindai"
"9","Kielmeyera tomentosa",1077242884,-12.966667,-38.5,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:47.796+0000","2018-12-03T16:16:07.655+0000",122,"none","PRESERVED_SPECIMEN",3713461,6,7707728,220,1414,4907584,7330103,3713461,3713461,"Kielmeyera tomentosa Cambess.","Kielmeyera tomentosa Cambess.","Plantae","Tracheophyta","Malpighiales","Calophyllaceae","Kielmeyera","Kielmeyera tomentosa","Kielmeyera","tomentosa","SPECIES","ACCEPTED","2014-11-11T00:00:00","SOUTH_AMERICA","Bahia",2012,11,30,"2012-11-30T00:00:00","2018-08-28T19:01:12.000+0000","2018-12-06T14:16:39.418+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000106905","20280","ALCB - Herbário Alexandre Leal Costa","Salvador","Região Metropolitana Salvador, UNIDUNAS","pt","ALCB",1077242884,"BRA:UFBA:ALCB:0000106905","Collection","Guedes, ML; Alunos da Disciplina BIO 043/2012","106905","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","de ca 3 m de altura, látex amarelado . Folhas discolores, com face abaxial tomentosa. Inflorescência em botões.","Santos, APB",NA,NA,"","",NA,"","","","","","","","","","","",NA,"",NA,"","",NA,"","","",NA,NA,NA,"Salvador","Bahia","brazil",3474,"Salvador",2927408,-38.51033,-12.871185,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.966667,-38.5,"original coordinates","original coordinates OK"
"10","Kielmeyera tomentosa",1077239605,-13.241944,-41.759167,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:45.251+0000","2018-12-03T16:16:05.989+0000",122,"none","PRESERVED_SPECIMEN",3713461,6,7707728,220,1414,4907584,7330103,3713461,3713461,"Kielmeyera tomentosa Cambess.","Kielmeyera tomentosa Cambess.","Plantae","Tracheophyta","Malpighiales","Calophyllaceae","Kielmeyera","Kielmeyera tomentosa","Kielmeyera","tomentosa","SPECIES","ACCEPTED","2013-09-30T00:00:00","SOUTH_AMERICA","Bahia",2011,4,24,"2011-04-24T00:00:00","2018-08-28T19:01:12.000+0000","2018-12-06T14:16:38.066+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000101933","18895","ALCB - Herbário Alexandre Leal Costa","Piatã","Chapada Diamantina","pt","ALCB",1077239605,"BRA:UFBA:ALCB:0000101933","Collection","Guedes, ML; Gomes, FS; Guaré, F; Silveira, ER; et al.","101933","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","de ca 2 m de altura.Látex da cor de doce de leite. Folhas coriáceas, discolores, face abaxial tomentosa. Frutos passados e jovens.","Santos, APB",NA,NA,"","",NA,"","","","","","","","","","","",NA,"",NA,"","",NA,"","","",NA,NA,NA,"Piatã","Bahia","brazil",3453,"Piatã",2924306,-41.879255,-13.04974,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.241944,-41.759167,"original coordinates","original coordinates OK"
