"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","modified","otherCatalogNumbers","continent","identificationQualifier","individualCount","nomenclaturalStatus","nomenclaturalCode","county","taxonID","bibliographicCitation","collectionID","references","institutionID","verbatimEventDate","endDayOfYear","preparations","startDayOfYear","identificationRemarks","verbatimElevation","georeferenceSources","fieldNotes","higherGeography","organismID","datasetID","accessRights","higherClassification","typeStatus","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Cnidoscolus oligandrus",1936707431,-11.738333,-41.455833,"gass84,iddatunl","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:06.805+0000","2018-11-14T17:20:06.824+0000",124,"none","PRESERVED_SPECIMEN",3073692,6,7707728,220,1414,4691,3073435,3073692,3073692,"Cnidoscolus oligandrus (Müll.Arg.) Pax","Cnidoscolus oligandrus (Müll.Arg.) Pax","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus oligandrus","Cnidoscolus","oligandrus","SPECIES","ACCEPTED","2017-05-01T00:00:00",748,0,"Bahia",2016,3,19,"2016-03-19T00:00:00","2018-11-14T17:20:06.880+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000244313","4913","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Cafarnaum","Entre Lapa Cercada e Lapa da Igreja, proximidades do povoado de Cercadinho. Morro com afloramentos de calcário em vertentes, paredões e grandes blocos abatidos.","pt","HUEFS",1936707431,"BRA:UEFS:HUEFS:0000244313","Collection","Melo, P.H.A.","244313","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Caatinga arbóreo-arbustiva e mata ciliar de rio intermitente. Envolto por caatinga alterada, pastagens e áreas agrícolas.","O.L.M.Silva","","","","",NA,"","","",NA,"","","","","",NA,"",NA,NA,"",NA,"","",NA,"","","","","","Cafarnaum","Bahia","brazil",3634,"Cafarnaum",2905305,-41.482569,-11.737943,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.738333,-41.455833,"original coordinates","original coordinates OK"
"2","Cnidoscolus oligandrus",1563894921,-15.119167,-41.400278,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:01.591+0000","2018-09-24T19:58:43.443+0000",207,"none","PRESERVED_SPECIMEN",3073692,6,7707728,220,1414,4691,3073435,3073692,3073692,"Cnidoscolus oligandrus (Müll.Arg.) Pax","Cnidoscolus oligandrus (Müll.Arg.) Pax","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus oligandrus","Cnidoscolus","oligandrus","SPECIES","ACCEPTED","none",NA,NA,"Bahia",2014,10,29,"2014-10-29T00:00:00","2018-12-07T14:56:02.766+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1324370","31","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Vitória da Conquista","Conglomerado BA_1309-Extra","","RB",1563894921,"urn:catalog:JBRJ:RB:1324370","PhysicalObject","Fernandes, M. H.","RB01324370","JBRJ","","Árvore, exsudado observado, tipo: látex, cor branco, muito abundante, textura pegajosa, odor ausente. Casca externa amarelada e fina, casca interna amarelada, tipo: lenticelada, desprendimento: esfoliante. Frutos com 3 x 2 cm, secos, forma oval, cor externa amarela e interna amarela, consistência em arilo. Duplicatas: RB","L. Daneu & C. O. Andrino","2017-06-07T12:59:56.987+0000","RB 731834","","",NA,"","","",NA,"","","","","",NA,"",NA,NA,"",NA,"","",NA,"","","","","","Vitória da Conquista","Bahia","brazil",3220,"Vitória da Conquista",2933307,-40.902128,-14.974654,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-15.119167,-41.400278,"original coordinates","original coordinates outside municipality original in vitoria da conquista falls in tremedal"
"3","Cnidoscolus oligandrus",1424497143,-16.233333,-42.276944,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:42:57.873+0000","2018-09-24T20:04:10.520+0000",207,"none","PRESERVED_SPECIMEN",3073692,6,7707728,220,1414,4691,3073435,3073692,3073692,"Cnidoscolus oligandrus (Müll.Arg.) Pax","Cnidoscolus oligandrus (Müll.Arg.) Pax","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus oligandrus","Cnidoscolus","oligandrus","SPECIES","ACCEPTED","none",497,NA,"Minas Gerais",2013,7,10,"2013-07-10T00:00:00","2018-12-06T17:01:00.332+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:903408","1455","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Salinas","5km southeast of Salinas.","","RB",1424497143,"urn:catalog:JBRJ:RB:903408","PhysicalObject","Neves, D.M.; Dexter, K.G.","RB00903408","JBRJ","","Tree 7m; 40cm DBH; yellow corollas; irritating trichomes on fruit; slightly fissured bark","Neves, D.M.","2017-10-18T17:33:54.168+0000","RB 610247","","",NA,"","","",NA,"","","","","",NA,"",NA,NA,"",NA,"","",NA,"","","","","","Salinas","Minas Gerais","brazil",3053,"Salinas",3157005,-42.153218,-16.1096,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-16.233333,-42.276944,"original coordinates","original coordinates OK"
"4","Cnidoscolus oligandrus",1090520373,-14.7025,-39.603889,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:40.739+0000","2018-11-24T12:34:40.880+0000",122,"none","PRESERVED_SPECIMEN",3073692,6,7707728,220,1414,4691,3073435,3073692,3073692,"Cnidoscolus oligandrus (Müll.Arg.) Pax","Cnidoscolus oligandrus (Müll.Arg.) Pax","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus oligandrus","Cnidoscolus","oligandrus","SPECIES","ACCEPTED","none",NA,NA,"Bahia",2012,6,7,"2012-06-07T00:00:00","2018-12-08T04:43:02.041+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000135547","745","CEPEC - Herbário do Centro de Pesquisas do Cacau","ALMADINA","Serra do Corcovado, acesso pela Estação da EMBASA. Nova trilha próximo ao sítio do seu Domingos. Entrada à esquerda da primeira cachoeira.","pt","CEPEC",1090520373,"BRA:CEPLAC:CEPEC:0000135547","Collection","M.M. Coelho","135547","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Material prensado com álcool.","M. M. Coelho","2018-11-14T14:14:15.000+0000","27/7/2012","","",NA,"","","",NA,"","","","","",NA,"",NA,NA,"",NA,"","",NA,"","","","","","ALMADINA","Bahia","brazil",3258,"Almadina",2900900,-39.663617,-14.70145,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-14.7025,-39.603889,"original coordinates","original coordinates OK"
"5","Cnidoscolus oligandrus",1123828526,-19.807389,-40.678278,"gass84","9129ec89-afa7-45af-8b73-509f1f8942ab","667644b9-7b93-4892-80c7-c4271735c515","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-10-11T11:54:58.248+0000","2017-12-15T16:34:50.300+0000",129,"none","PRESERVED_SPECIMEN",3073692,6,7707728,220,1414,4691,3073435,3073692,3073692,"Cnidoscolus oligandrus (Müll.Arg.) Pax","Cnidoscolus oligandrus (Müll.Arg.) Pax","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus oligandrus","Cnidoscolus","oligandrus","SPECIES","ACCEPTED","none",196,0,"Espírito Santo",2011,12,28,"2011-12-28T00:00:00","2018-12-08T12:05:03.183+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBML-Herbario - Herbário Mello Leitão","BRA:MBML:MBML-HERBARIO:0000045832","37","MBML-Herbario - Herbário Mello Leitão","Santa Teresa","São João de Petrópolis, E.A.F.S.T.","pt","MBML-HERBARIO",1123828526,"BRA:MBML:MBML-HERBARIO:0000045832","Collection","J. Gurtler; Phillippe Mioto","45832","MBML","Museu de Biologia Professor Mello Leitão, MBML","Arvoredo de porte médio (6,0 mts aprox.) frutos apresentando acúleos (ardiabo).","","2017-09-14T14:45:14.000+0000","","","",NA,"","","",NA,"","","","","",NA,"",NA,NA,"",NA,"","",NA,"","","","","","Santa Teresa","Espírito Santo","brazil",2456,"Santa Teresa",3204609,-40.635175,-19.877577,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-19.807389,-40.678278,"original coordinates","original coordinates OK"
"6","Cnidoscolus oligandrus",1090480298,-15.15,-39.516667,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:04.210+0000","2018-11-24T12:34:04.216+0000",122,"none","PRESERVED_SPECIMEN",3073692,6,7707728,220,1414,4691,3073435,3073692,3073692,"Cnidoscolus oligandrus (Müll.Arg.) Pax","Cnidoscolus oligandrus (Müll.Arg.) Pax","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus oligandrus","Cnidoscolus","oligandrus","SPECIES","ACCEPTED","none",NA,NA,"Bahia",2009,3,4,"2009-03-04T00:00:00","2018-12-08T04:42:45.520+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000086699","12201","CEPEC - Herbário do Centro de Pesquisas do Cacau","JUSSARÍ","Faz. Serra do Teimoso, RPPN Serra do Teimoso.","pt","CEPEC",1090480298,"BRA:CEPLAC:CEPEC:0000086699","Collection","W. W. Thomas","86699","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","","D. S. Carneiro-Torres","2018-11-14T17:44:09.000+0000","30/06/2004","","",NA,"","","",NA,"","","","","",NA,"",NA,NA,"",NA,"","",NA,"","","","","","JUSSARÍ","Bahia","brazil",3197,"Jussari",2918555,-39.499726,-15.131669,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-15.15,-39.516667,"original coordinates","original coordinates OK"
"7","Cnidoscolus oligandrus",1087645794,-19.4675,-41.343333,"gass84","d2470ef8-edfa-4ba7-821e-c3e1a537bdba","4265f332-341c-45f6-b30b-5dc2e39b86e8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:11:37.477+0000","2018-02-15T05:17:39.338+0000",121,"none","PRESERVED_SPECIMEN",3073692,6,7707728,220,1414,4691,3073435,3073692,3073692,"Cnidoscolus oligandrus (Müll.Arg.) Pax","Cnidoscolus oligandrus (Müll.Arg.) Pax","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus oligandrus","Cnidoscolus","oligandrus","SPECIES","ACCEPTED","2009-06-01T00:00:00",154,0,"Minas Gerais",2009,5,27,"2009-05-27T00:00:00","2018-12-08T13:05:40.820+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","BHCB - Herbário da Universidade Federal de Minas Gerais","BRA:UFMG:BHCB:0000131837","728","BHCB - Herbário da Universidade Federal de Minas Gerais","Santa Rita do Itueto","Rio Manhuaçu, Às margens do Rio Manhuaçu","pt","BHCB",1087645794,"BRA:UFMG:BHCB:0000131837","Collection","Souza, DT; Almeida, TE; Cota, MMT","131837","Universidade Federal de Minas Gerais (UFMG)","Universidade Federal de Minas Gerais (UFMG)","","","2018-01-16T21:08:26.000+0000","","SOUTH_AMERICA","",NA,"","","",NA,"","","","","",NA,"",NA,NA,"",NA,"","",NA,"","","","","","Santa Rita do Itueto","Minas Gerais","brazil",2556,"Santa Rita do Itueto",3159506,-41.389265,-19.412449,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-19.4675,-41.343333,"original coordinates","original coordinates OK"
"8","Cnidoscolus oligandrus",1086674623,-18.763333,-40.441389,"gass84","a51fa32f-831d-49d6-8b8a-c7b52ae65b3b","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:40:46.789+0000","2017-12-29T14:11:27.078+0000",125,"none","PRESERVED_SPECIMEN",3073692,6,7707728,220,1414,4691,3073435,3073692,3073692,"Cnidoscolus oligandrus (Müll.Arg.) Pax","Cnidoscolus oligandrus (Müll.Arg.) Pax","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus oligandrus","Cnidoscolus","oligandrus","SPECIES","ACCEPTED","2016-11-01T00:00:00",187,0,"Espírito Santo",2008,5,9,"2008-05-09T00:00:00","2018-12-06T13:38:52.379+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UPCB - Herbário do Departamento de Botânica","BRA:UFPR:UPCB:0000069740","1125","UPCB - Herbário do Departamento de Botânica","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante. Serra de Baixo, Santuário Mãe Peregrina. Floresta Estacional Semidecidual.","pt","UPCB",1086674623,"BRA:UFPR:UPCB:0000069740","Collection","Goldenberg, R. et al.","69740","UFPR","Universidade Federal do Paraná, UFPR","Árvore 15m, com espinhos urticantes e látex abundante. Frutos verdes. Nome popular: Cansanção..","Riina, R.","2017-11-30T17:13:03.000+0000","","","",NA,"","","",NA,"","","","","",NA,"",NA,NA,"",NA,"","",NA,"","","","","","Nova Venécia","Espírito Santo","brazil",2688,"Nova Venécia",3203908,-40.523444,-18.698823,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-18.763333,-40.441389,"original coordinates","original coordinates OK"
"9","Cnidoscolus oligandrus",1099313648,-15.202778,-39.461111,"gass84","e153bbae-f9cd-46a6-a4dd-db74983c7075","3046e6a6-6218-4880-9544-98f6c6ace34a","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:15:47.635+0000","2017-12-16T12:24:00.664+0000",146,"none","PRESERVED_SPECIMEN",3073692,6,7707728,220,1414,4691,3073435,3073692,3073692,"Cnidoscolus oligandrus (Müll.Arg.) Pax","Cnidoscolus oligandrus (Müll.Arg.) Pax","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus oligandrus","Cnidoscolus","oligandrus","SPECIES","ACCEPTED","none",NA,NA,"Bahia",2008,8,19,"2008-08-19T00:00:00","2018-07-07T09:17:30.500+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HPL - Herbário do Jardim Botânico Plantarum","BRA:JBP:HPL:0000013606","5351","HPL - Herbário do Jardim Botânico Plantarum","Itabuna","Rodovia BR-415 Itabuna/Ibicaraí, ca. 5 km de Ferradas, margem da rodovia. CEPLAC-123942.","pt","HPL",1099313648,"BRA:JBP:HPL:0000013606","Collection","J.G. Jardim; L. C. Gomes","13606","Instituto Plantarum de Estudos da Flora Ltda (HPL)","Instituto Plantarum de Estudos da Flora Ltda (HPL)","","","","","","",NA,"","","",NA,"","","","","",NA,"",NA,NA,"",NA,"","",NA,"","","","","","Itabuna","Bahia","brazil",3238,"Itabuna",2914802,-39.316182,-14.851703,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-15.202778,-39.461111,"original coordinates","original coordinates outside municipality original in itabuna falls in jussari"
"10","Cnidoscolus oligandrus",1090513182,-15.202778,-39.461111,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:30.894+0000","2018-11-24T12:34:30.911+0000",122,"none","PRESERVED_SPECIMEN",3073692,6,7707728,220,1414,4691,3073435,3073692,3073692,"Cnidoscolus oligandrus (Müll.Arg.) Pax","Cnidoscolus oligandrus (Müll.Arg.) Pax","Plantae","Tracheophyta","Malpighiales","Euphorbiaceae","Cnidoscolus","Cnidoscolus oligandrus","Cnidoscolus","oligandrus","SPECIES","ACCEPTED","none",NA,NA,"Bahia",2008,8,19,"2008-08-19T00:00:00","2018-12-08T04:42:59.041+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000123942","5351","CEPEC - Herbário do Centro de Pesquisas do Cacau","ITABUNA","Rod. BR-415 Iltabuna/Ibicaraí, ca. 5Km de Ferradas, margem da Rodovia.","pt","CEPEC",1090513182,"BRA:CEPLAC:CEPEC:0000123942","Collection","J. G. Jardim","123942","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","","J. G. Jardim","2018-11-14T14:14:15.000+0000","30/12/2008","","",NA,"","","",NA,"","","","","",NA,"",NA,NA,"",NA,"","",NA,"","","","","","ITABUNA","Bahia","brazil",3238,"Itabuna",2914802,-39.316182,-14.851703,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-15.202778,-39.461111,"original coordinates","original coordinates outside municipality original in itabuna falls in jussari"
