"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","elevation","elevationAccuracy","individualCount","preparations","continent","otherCatalogNumbers","nomenclaturalStatus","nomenclaturalCode","county","taxonID","bibliographicCitation","collectionID","institutionID","higherGeography","organismID","datasetID","accessRights","higherClassification","fieldNotes","references","verbatimEventDate","endDayOfYear","startDayOfYear","verbatimElevation","habitat","georeferenceProtocol","eventRemarks","identificationRemarks","coordinateUncertaintyInMeters","georeferenceSources","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Luetzelburgia bahiensis",1699901453,-11.49,-41.3425,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:03.205+0000","2018-11-14T17:20:03.220+0000",124,"none","PRESERVED_SPECIMEN",2947751,6,7707728,220,1370,5386,2947738,2947751,2947751,"Luetzelburgia bahiensis Yakovlev","Luetzelburgia bahiensis Yakovlev","Plantae","Tracheophyta","Fabales","Fabaceae","Luetzelburgia","Luetzelburgia bahiensis","Luetzelburgia","bahiensis","SPECIES","ACCEPTED","2017-11-01T00:00:00","Bahia",2017,3,3,"2017-03-03T00:00:00","2018-11-09T19:18:10.000+0000","2018-12-05T23:54:03.686+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000233299","347","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Morro do Chapéu","ca. 50m W of BA-052 road at km 289.","pt","HUEFS",1699901453,"BRA:UEFS:HUEFS:0000233299","Collection","Moonlight, P.W.","233299","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Sandy soil in open caatinga.","D.Cardoso",NA,NA,NA,"","","","","","",NA,"","","","",NA,"","","","","","",NA,NA,"","","","","",NA,"","Morro do Chapéu","Bahia","brazil",3674,"Morro do Chapéu",2921708,-41.151587,-11.472221,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.49,-41.3425,"original coordinates","original coordinates OK"
"2","Luetzelburgia bahiensis",1837839674,-12.426111,-42.372222,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:04.926+0000","2018-11-14T17:20:05.071+0000",124,"none","PRESERVED_SPECIMEN",2947751,6,7707728,220,1370,5386,2947738,2947751,2947751,"Luetzelburgia bahiensis Yakovlev","Luetzelburgia bahiensis Yakovlev","Plantae","Tracheophyta","Fabales","Fabaceae","Luetzelburgia","Luetzelburgia bahiensis","Luetzelburgia","bahiensis","SPECIES","ACCEPTED","none","Bahia",2017,3,11,"2017-03-11T00:00:00","2018-11-09T19:18:10.000+0000","2018-12-08T03:44:07.304+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000239354","4176","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Oliveira dos Brejinhos","BR-242, sentido Seabra, Caatinga antropizada do lado esquerdo da rodovia.","pt","HUEFS",1837839674,"BRA:UEFS:HUEFS:0000239354","Collection","Cardoso, D.","239354","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","",764,0,NA,"","","","","","",NA,"","","","",NA,"","","","","","",NA,NA,"","","","","",NA,"","Oliveira dos Brejinhos","Bahia","brazil",3555,"Oliveira dos Brejinhos",2923209,-42.728605,-12.280791,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-12.426111,-42.372222,"original coordinates","original coordinates OK"
"3","Luetzelburgia bahiensis",1837839749,-11.493889,-41.346111,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:04.892+0000","2018-11-14T17:20:05.032+0000",124,"none","PRESERVED_SPECIMEN",2947751,6,7707728,220,1370,5386,2947738,2947751,2947751,"Luetzelburgia bahiensis Yakovlev","Luetzelburgia bahiensis Yakovlev","Plantae","Tracheophyta","Fabales","Fabaceae","Luetzelburgia","Luetzelburgia bahiensis","Luetzelburgia","bahiensis","SPECIES","ACCEPTED","none","Bahia",2017,3,4,"2017-03-04T00:00:00","2018-11-09T19:18:10.000+0000","2018-12-08T03:44:07.408+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000239353","4175","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Morro do Chapéu","Lajes, caatinga arbustiva densa do lado esquerdo da BA-052.","pt","HUEFS",1837839749,"BRA:UEFS:HUEFS:0000239353","Collection","Cardoso, D.","239353","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","",857,0,NA,"","","","","","",NA,"","","","",NA,"","","","","","",NA,NA,"","","","","",NA,"","Morro do Chapéu","Bahia","brazil",3674,"Morro do Chapéu",2921708,-41.151587,-11.472221,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.493889,-41.346111,"original coordinates","original coordinates OK"
"4","Luetzelburgia bahiensis",1913583998,-9.8,-40,"gass84","e38d4c95-3a1d-4594-9ae9-883b48042e6d","7ef169f9-81f8-46a2-a7f7-240df6a1889c","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:44.188+0000","2018-11-23T18:21:44.352+0000",123,"none","PRESERVED_SPECIMEN",2947751,6,7707728,220,1370,5386,2947738,2947751,2947751,"Luetzelburgia bahiensis Yakovlev","Luetzelburgia bahiensis Yakovlev","Plantae","Tracheophyta","Fabales","Fabaceae","Luetzelburgia","Luetzelburgia bahiensis","Luetzelburgia","bahiensis","SPECIES","ACCEPTED","none","Bahia",2017,8,3,"2017-08-03T00:00:00","2018-10-26T13:51:12.000+0000","2018-12-10T13:35:48.806+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","BRA:Cenargen:CEN:0000103870","25843","CEN - Herbário da Embrapa Recursos Genéticos e Biotecnologia","SOBRADINHO","Caminho para a Barragem.","pt","CEN",1913583998,"BRA:Cenargen:CEN:0000103870","Collection","Maria Lenise Silva Guedes","103870","Cenargen","Empresa Brasileira de Pesquisa Agropecuária (EMBRAPA)","Folhas com folíolos cartáceos. Inflorescência com flores de cálice verde-oliva, pétalas alvas, estandarte com uma faixa verde. Doação do Projeto Flora da Bahia. Herbário Alexandre Leal Costa - ALCB (128602). Projeto Financiado pelo C","M. L. Guedes",NA,NA,1,"Exsicatas","","","","","",NA,"","","","",NA,"","","","","","",NA,NA,"","","","","",NA,"","SOBRADINHO","Bahia","brazil",3960,"Sobradinho",2930774,-40.886076,-9.684588,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-9.8,-40,"original coordinates","original coordinates outside municipality original in sobradinho falls in juazeiro"
"5","Luetzelburgia bahiensis",1699426156,-9.8,-41.35,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:55.421+0000","2018-12-03T16:16:31.335+0000",122,"none","PRESERVED_SPECIMEN",2947751,6,7707728,220,1370,5386,2947738,2947751,2947751,"Luetzelburgia bahiensis Yakovlev","Luetzelburgia bahiensis Yakovlev","Plantae","Tracheophyta","Fabales","Fabaceae","Luetzelburgia","Luetzelburgia bahiensis","Luetzelburgia","bahiensis","SPECIES","ACCEPTED","2017-09-01T00:00:00","Bahia",2017,8,3,"2017-08-03T00:00:00","2018-08-28T19:06:49.000+0000","2018-12-05T23:49:33.987+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000128602","25843","ALCB - Herbário Alexandre Leal Costa","Sobradinho","","pt","ALCB",1699426156,"BRA:UFBA:ALCB:0000128602","Collection","Guedes, ML; Barros, JS da H; Sales, C; Barreto, TS; et al.","128602","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","Folhas com folíolos cartáceos. Inflorescência com flores de cálice verde-oliva, pétalas alvas, estandarte com uma faixa verde.","Guedes, ML",NA,NA,NA,"","SOUTH_AMERICA","","","","",NA,"","","","",NA,"","","","","","",NA,NA,"","","","","",NA,"","Sobradinho","Bahia","brazil",3960,"Sobradinho",2930774,-40.886076,-9.684588,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-9.8,-41.35,"original coordinates","original coordinates outside municipality original in sobradinho falls in sento se"
"6","Luetzelburgia bahiensis",1835179276,-8.416667,-42.333333,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:04.725+0000","2018-11-14T17:20:04.730+0000",124,"none","PRESERVED_SPECIMEN",2947751,6,7707728,220,1370,5386,2947738,2947751,2947751,"Luetzelburgia bahiensis Yakovlev","Luetzelburgia bahiensis Yakovlev","Plantae","Tracheophyta","Fabales","Fabaceae","Luetzelburgia","Luetzelburgia bahiensis","Luetzelburgia","bahiensis","SPECIES","ACCEPTED","none","Piauí",2017,12,8,"2017-12-08T00:00:00","","2018-11-14T17:20:04.764+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000238796","203","HUEFS - Herbario da Universidade Estadual de Feira de Santana","São Raimundo Nonato","Parque Nacional Serra da Capivara","pt","HUEFS",1835179276,"BRA:UEFS:HUEFS:0000238796","Collection","Mizushima, M.","238796","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Caatinga","",NA,NA,NA,"","","","","","",NA,"","","","",NA,"","","","","","",NA,NA,"","","","","",NA,"","São Raimundo Nonato","Piauí","brazil",4095,"São Raimundo Nonato",2210607,-42.715282,-8.96647,"PIAUI","PI","Piauí",-42.9686162,-7.38798322,"Piauí","pi",-8.416667,-42.333333,"original coordinates","original coordinates outside municipality original in sao raimundo nonato falls in joao costa"
"7","Luetzelburgia bahiensis",1423920394,-11.100833,-41.331111,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:35:17.246+0000","2018-09-24T19:57:58.688+0000",207,"none","PRESERVED_SPECIMEN",2947751,6,7707728,220,1370,5386,2947738,2947751,2947751,"Luetzelburgia bahiensis Yakovlev","Luetzelburgia bahiensis Yakovlev","Plantae","Tracheophyta","Fabales","Fabaceae","Luetzelburgia","Luetzelburgia bahiensis","Luetzelburgia","bahiensis","SPECIES","ACCEPTED","2016-06-22T00:00:00","Bahia",2016,6,19,"2016-06-19T00:00:00","2017-11-19T08:38:02.462+0000","2018-12-06T16:55:31.228+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1152857","1522","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Morro do Chapéu","Divisa  com  o  Município  de  Várzea  nova,  Serra  da  Babilônia,  Faz.  Bom  Jesus,  futura  área  de  implantação  do  Parque  Eólico  da  Serra  da  Babilônia.  Área  da  sub-estação.  Coordenadas  aroximadas  do  indivíduo  (WGS84).  Savana-estépica  arborizada  densa.","","RB",1423920394,"urn:catalog:JBRJ:RB:1152857","PhysicalObject","L.J.T. Cardoso; P.R.C. Farag; O. Samor & P.O.M. Samor","RB01152857","JBRJ","","Cespitosa; alcançando 42 cm de circunferência a altura da base e 5 m de altura; praticamente sem folhas na ocasião; folhas jovens  membranáceas e discolores; flores com cálice esverdeado; corola álva com mácula central no vexilo hora amarelado, hora vináceo;  Frutos imaturos verdes, os maduros secos e paleáceo-acinzentados","D.B.O.S. Cardoso",920,NA,NA,"","","RB 656296","","","",NA,"","","","",NA,"","","","","","",NA,NA,"","","","","",NA,"","Morro do Chapéu","Bahia","brazil",3674,"Morro do Chapéu",2921708,-41.151587,-11.472221,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.100833,-41.331111,"original coordinates","original coordinates OK"
"8","Luetzelburgia bahiensis",1423920398,-11.0975,-41.351111,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:35:17.321+0000","2018-09-24T19:57:58.716+0000",207,"none","PRESERVED_SPECIMEN",2947751,6,7707728,220,1370,5386,2947738,2947751,2947751,"Luetzelburgia bahiensis Yakovlev","Luetzelburgia bahiensis Yakovlev","Plantae","Tracheophyta","Fabales","Fabaceae","Luetzelburgia","Luetzelburgia bahiensis","Luetzelburgia","bahiensis","SPECIES","ACCEPTED","2016-06-22T00:00:00","Bahia",2016,6,19,"2016-06-19T00:00:00","2017-11-19T08:38:21.462+0000","2018-12-06T16:55:31.141+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1152871","1656","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Morro do Chapéu","Divisa  com  o  Município  de  Várzea  nova,  Serra  da  Babilônia,  futura  área  de  implantação  do  Parque  Eólico  da  Serra  da  Babilônia.  Coordenadas  aroximadas  do  indivíduo  (WGS84).  Savana-estépica  arborizada  densa.","","RB",1423920398,"urn:catalog:JBRJ:RB:1152871","PhysicalObject","L.J.T. Cardoso; P.R.C. Farag; O. Samor & P.O.M. Samor","RB01152871","JBRJ","","Bifurcada; tronco com 5 cm de diâmetro a altura do solo; planta sem folhas na ocasião; frutos imaturos verde-acinzentados","D.B.O.S. Cardoso",759,NA,NA,"","","RB 656310","","","",NA,"","","","",NA,"","","","","","",NA,NA,"","","","","",NA,"","Morro do Chapéu","Bahia","brazil",3674,"Morro do Chapéu",2921708,-41.151587,-11.472221,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.0975,-41.351111,"original coordinates","original coordinates OK"
"9","Luetzelburgia bahiensis",1899819181,-11.49,-41.3425,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:56.644+0000","2018-12-03T16:15:49.121+0000",122,"none","PRESERVED_SPECIMEN",2947751,6,7707728,220,1370,5386,2947738,2947751,2947751,"Luetzelburgia bahiensis Yakovlev","Luetzelburgia bahiensis Yakovlev","Plantae","Tracheophyta","Fabales","Fabaceae","Luetzelburgia","Luetzelburgia bahiensis","Luetzelburgia","bahiensis","SPECIES","ACCEPTED","none","Bahia",2016,11,9,"2016-11-09T00:00:00","2018-08-28T19:06:49.000+0000","2018-12-03T16:15:58.132+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000132071","4163","ALCB - Herbário Alexandre Leal Costa","Morro do Chapéu","Lajes, ca. 25 km no lado esquerdo da BA-052 sentido Irec?.","pt","ALCB",1899819181,"BRA:UFBA:ALCB:0000132071","Collection","Cardoso, D; Cruz, AL da","132071","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","ca. 4 m alt. DNA.; amplo com bastante Discocactus.","",880,0,NA,"","SOUTH_AMERICA","","","","",NA,"","","","",NA,"","","","","","",NA,NA,"","","","","",NA,"","Morro do Chapéu","Bahia","brazil",3674,"Morro do Chapéu",2921708,-41.151587,-11.472221,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-11.49,-41.3425,"original coordinates","original coordinates OK"
"10","Luetzelburgia bahiensis",1837839394,-13.087222,-42.816667,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:20:04.766+0000","2018-11-14T17:20:04.792+0000",124,"none","PRESERVED_SPECIMEN",2947751,6,7707728,220,1370,5386,2947738,2947751,2947751,"Luetzelburgia bahiensis Yakovlev","Luetzelburgia bahiensis Yakovlev","Plantae","Tracheophyta","Fabales","Fabaceae","Luetzelburgia","Luetzelburgia bahiensis","Luetzelburgia","bahiensis","SPECIES","ACCEPTED","none","Bahia",2015,1,23,"2015-01-23T00:00:00","2018-11-09T19:18:10.000+0000","2018-12-08T03:44:07.137+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000239007","3629","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Macaúbas","Estrada de terra depois de Canatiba sentido Serra da Lapinha.","pt","HUEFS",1837839394,"BRA:UEFS:HUEFS:0000239007","Collection","Cardoso, D.","239007","UEFS","Universidade Estadual de Feira de Santana (UEFS)","","",813,0,NA,"","","","","","",NA,"","","","",NA,"","","","","","",NA,NA,"","","","","",NA,"","Macaúbas","Bahia","brazil",3445,"Macaúbas",2919801,-42.691098,-13.109689,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.087222,-42.816667,"original coordinates","original coordinates OK"
