"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","continent","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","otherCatalogNumbers","fieldNotes","habitat","higherGeography","georeferenceProtocol","eventRemarks","taxonRemarks","higherClassification","individualCount","preparations","nomenclaturalStatus","nomenclaturalCode","taxonID","bibliographicCitation","collectionID","coordinateUncertaintyInMeters","references","institutionID","county","verbatimEventDate","endDayOfYear","startDayOfYear","georeferenceSources","identificationQualifier","fieldNumber","infraspecificEpithet","identificationRemarks","verbatimElevation","organismID","datasetID","accessRights","typeStatus","georeferencedDate","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Eugenia francavilleana",1801096637,-19.7675,-43.633889,"gass84","eb63cc46-126f-43b2-9c3e-0f03a97e0638","60f97f47-cd0d-4ff5-b0c0-c98495bf430a","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:40:03.188+0000","2017-12-29T14:08:06.223+0000",136,"none","PRESERVED_SPECIMEN",5417378,6,7707728,220,690,5014,3177662,5417378,5417378,"Eugenia francavilleana O.Berg","Eugenia francavilleana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia francavilleana","Eugenia","francavilleana","SPECIES","ACCEPTED","2016-07-01T00:00:00",1106,0,"SOUTH_AMERICA","Minas Gerais",2016,7,19,"2016-07-19T00:00:00","2017-12-15T12:55:31.000+0000","2018-12-08T01:46:24.022+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HDJF - Herbário Dendrológico Jeanine Felfili","BRA:UFVJM:HDJF:0000004307","6358","HDJF - Herbário Dendrológico Jeanine Felfili","Caeté","Estrada de terra saindo do distrito de Roças Novas chegando no hotel Tauá","pt","HDJF",1801096637,"BRA:UFVJM:HDJF:0000004307","Collection","Faria, JEQ","4307","Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)","Universidade Federal dos Vales do Jequitinhonha e Mucuri (UFVJM)","Árvore ca. 6 m de altura, frutos imaturos verdes; Floresta estacional semidecidual","Faria, JEQ","","","","","","","","",NA,"","","",NA,"","",NA,"","","","",NA,NA,"","","","","","",NA,"","","","","Caeté","Minas Gerais","brazil",2461,"Caeté",3110004,-43.637744,-19.86804,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-19.7675,-43.633889,"original coordinates","original coordinates OK"
"2","Eugenia francavilleana",1571707099,-14.206944,-49.296944,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:37:03.738+0000","2018-09-24T19:58:45.127+0000",207,"none","PRESERVED_SPECIMEN",5417378,6,7707728,220,690,5014,3177662,5417378,5417378,"Eugenia francavilleana O.Berg","Eugenia francavilleana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia francavilleana","Eugenia","francavilleana","SPECIES","ACCEPTED","none",391,NA,"","Goiás",2016,9,1,"2016-09-01T00:00:00","2017-10-15T12:54:24.593+0000","2018-12-08T17:22:59.160+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1335103","6514","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Alto Horizonte","Região da Sururuca, fazenda Lindomar Reis","","RB",1571707099,"urn:catalog:JBRJ:RB:1335103","PhysicalObject","J.E.Q. Faria","RB01335103","JBRJ","","","J.E.Q. Faria","RB 734543","Mata seca antropizada em borda de cerrado","","","","","","",NA,"","","",NA,"","",NA,"","","","",NA,NA,"","","","","","",NA,"","","","","Alto Horizonte","Goiás","brazil",3325,"Alto Horizonte",5200555,-49.428812,-14.170302,"GOIAS","GO","Goiás",-49.62349059,-16.04162242,"Goiás","go",-14.206944,-49.296944,"original coordinates","original coordinates OK"
"3","Eugenia francavilleana",1424490747,-16.359444,-42.880278,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:42:53.930+0000","2018-09-24T20:04:06.640+0000",207,"none","PRESERVED_SPECIMEN",5417378,6,7707728,220,690,5014,3177662,5417378,5417378,"Eugenia francavilleana O.Berg","Eugenia francavilleana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia francavilleana","Eugenia","francavilleana","SPECIES","ACCEPTED","none",1188,NA,"","Minas Gerais",2014,6,24,"2014-06-24T00:00:00","2017-10-18T18:23:07.726+0000","2018-12-06T17:00:56.875+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:875619","7073","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Grão Mogol","Parque Estadual de Grão Mogol. Serra do Curiacá, a partir do início da trilha até o ponto georreferenciado (floresta na encosta da montanha).","","RB",1424490747,"urn:catalog:JBRJ:RB:875619","PhysicalObject","M. Verdi; N. Pougy, G. Martinelli, D. Maurenza, E. Martins","RB00875619","JBRJ","","Folhas verdes; pouco frequente; encontrada em solo arenoso no interior da floresta; no interior do parque há incêndios devido a presença de arbustos queimados e no entorno encontram-se extensos plantios de Eucalyptus spp.","M.SOBRAL","RB 605382","","","","","","","",NA,"","","",NA,"","",NA,"","","","",NA,NA,"","","","","","",NA,"","","","","Grão Mogol","Minas Gerais","brazil",2991,"Grão Mogol",3127800,-42.993475,-16.465094,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-16.359444,-42.880278,"original coordinates","original coordinates OK"
"4","Eugenia francavilleana",1087720632,-23.425278,-47.6,"gass84","e1278068-7d2d-44e0-8274-a46ae6ebf957","69e3ffff-c8fa-43a5-8d76-0c24261df2d7","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:29:23.323+0000","2018-09-25T14:06:13.484+0000",128,"none","PRESERVED_SPECIMEN",5417378,6,7707728,220,690,5014,3177662,5417378,5417378,"Eugenia francavilleana O.Berg","Eugenia francavilleana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia francavilleana","Eugenia","francavilleana","SPECIES","ACCEPTED","none",NA,NA,"","São Paulo",2013,3,7,"2013-03-07T00:00:00","2018-08-07T16:59:40.000+0000","2018-12-08T13:06:10.503+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SORO - Herbário do Centro de Ciências e Tecnologias para a Sustentabilidade","BRA:UFSCar:SORO:0000003096","60","SORO - Herbário do Centro de Ciências e Tecnologias para a Sustentabilidade","Iperó","Floresta Nacional de Ipanema","pt","SORO",1087720632,"BRA:UFSCar:SORO:0000003096","Collection","","3096","UFSCar","Universidade Federal de São Carlos (UFSCar)","Arvoreta coletada em Floresta Estacional Semidecidual, com 2,5m de altura.","","","","","","","","","",NA,"","","",NA,"","",NA,"","","","",NA,NA,"","","","","","",NA,"","","","","Iperó","São Paulo","brazil",1210,"Iperó",3521002,-47.62904,-23.40398,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-23.425278,-47.6,"original coordinates","original coordinates OK"
"5","Eugenia francavilleana",1213660310,-15.51,-47.96,"gass84,iddatunl","d82d5a18-0428-4e52-be16-f509153e8126","e97090cb-7731-41c7-ac24-31a841730654","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:36.239+0000","2018-01-05T18:34:59.848+0000",114,"none","PRESERVED_SPECIMEN",5417378,6,7707728,220,690,5014,3177662,5417378,5417378,"Eugenia francavilleana O.Berg","Eugenia francavilleana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia francavilleana","Eugenia","francavilleana","SPECIES","ACCEPTED","2013-01-01T00:00:00",766,0,"SOUTH_AMERICA","Distrito Federal",2013,5,23,"2013-05-23T00:00:00","","2018-07-08T01:33:21.143+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UB - Herbário da Universidade de Brasília","BRA:UnB:UB:0000203835","3615","UB - Herbário da Universidade de Brasília","Brasília","Estrada chegando no Morro da Pedreira","pt","UB",1213660310,"BRA:UnB:UB:0000203835","Collection","Faria, JEQ; Zanatta, MRV","203835","UnB","Universidade de Brasília (UnB)","Arvoreta 2,5m. Flor creme; Mata seca sempre verde, margem de córrego intermitente","Faria, JEQ","","","","","","","","",NA,"","","",NA,"","",NA,"","","","",NA,NA,"","","","","","",NA,"","","","","Brasília","Distrito Federal","brazil",3101,"Brasília",5300108,-47.797394,-15.780212,"DISTRITO FEDERAL","DF","Distrito Federal",-47.79774208,-15.78050687,"Distrito Federal","df",-15.51,-47.96,"original coordinates","original coordinates OK"
"6","Eugenia francavilleana",1913598572,-22.436361,-42.026167,"gass84","1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3","76dbcb10-efc5-4d5f-87a5-bcd409fc92c8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:30:54.354+0000","2018-09-25T14:06:08.392+0000",126,"none","PRESERVED_SPECIMEN",5417378,6,7707728,220,690,5014,3177662,5417378,5417378,"Eugenia francavilleana O.Berg","Eugenia francavilleana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia francavilleana","Eugenia","francavilleana","SPECIES","ACCEPTED","2016-07-01T00:00:00",NA,NA,"","Rio de Janeiro",2012,1,9,"2012-01-09T00:00:00","2018-08-24T15:06:37.000+0000","2018-12-10T13:35:57.203+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPF - Herbário da Universidade de São Paulo","BRA:USP:SPF:0000223095","784","SPF - Herbário da Universidade de São Paulo","Casimiro de Abreu","Reserva Biológica União, T1, ramal da Trilha Principal, acesso pela Estrada da Macuca.","pt","SPF",1913598572,"BRA:USP:SPF:0000223095","Collection","Santos, MF","223095","USP","Universidade de São Paulo, USP","Arvoreta, 4 m alt. Ramo imaturo verde, maduro vináceo. Bractéola amarelo-esverdeada. Hipanto amarelo, cálice alvo-esverdeado, pétalas e filetes alvos, anteras amarela. Material armazenado em sílica-gel. Material prensado em álcool.;","Giaretta, A","","","","","","","","",NA,"","","",NA,"","",NA,"","","","",NA,NA,"","","","","","",NA,"","","","","Casimiro de Abreu","Rio de Janeiro","brazil",1539,"Casimiro de Abreu",3301306,-42.141929,-22.483079,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-22.436361,-42.026167,"original coordinates","original coordinates OK"
"7","Eugenia francavilleana",1913598574,-22.434167,-44.607222,"gass84","1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3","76dbcb10-efc5-4d5f-87a5-bcd409fc92c8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:30:54.365+0000","2018-09-25T14:06:08.403+0000",126,"none","PRESERVED_SPECIMEN",5417378,6,7707728,220,690,5014,3177662,5417378,5417378,"Eugenia francavilleana O.Berg","Eugenia francavilleana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia francavilleana","Eugenia","francavilleana","SPECIES","ACCEPTED","2016-07-01T00:00:00",NA,NA,"","Rio de Janeiro",2012,1,13,"2012-01-13T00:00:00","2018-08-24T15:06:37.000+0000","2018-12-10T13:35:57.142+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPF - Herbário da Universidade de São Paulo","BRA:USP:SPF:0000223079","804","SPF - Herbário da Universidade de São Paulo","Itatiaia","Parque Nacional do Itatiaia, Trilha para a Cachoeira Bela Vista e os Três Picos.","pt","SPF",1913598574,"BRA:USP:SPF:0000223079","Collection","Santos, MF","223079","USP","Universidade de São Paulo, USP","Arvoreta, 3 m alt. Ramo acinzentado. Pedicelo verde. Hipanto e cálice amarelo-esverdeados, pétalas e estames alvos. Material armazenado em sílica-gel.; Na beira da trilha, no sub-bosque da mata.","Giaretta, A","","","","","","","","",NA,"","","",NA,"","",NA,"","","","",NA,NA,"","","","","","",NA,"","","","","Itatiaia","Rio de Janeiro","brazil",1561,"Itatiaia",3302254,-44.580977,-22.439525,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-22.434167,-44.607222,"original coordinates","original coordinates OK"
"8","Eugenia francavilleana",1587318881,-9.559167,-36.809167,"gass84,iddatunl","a0cb1f6e-5766-4cc5-a8a0-cfc6a22c5c3d","81114709-2a6c-4e0b-908b-cb207a8708c2","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:21:14.412+0000","2018-11-23T18:21:14.488+0000",125,"none","PRESERVED_SPECIMEN",5417378,6,7707728,220,690,5014,3177662,5417378,5417378,"Eugenia francavilleana O.Berg","Eugenia francavilleana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia francavilleana","Eugenia","francavilleana","SPECIES","ACCEPTED","2017-01-01T00:00:00",NA,NA,"","Alagoas",2012,3,4,"2012-03-04T00:00:00","","2018-11-23T18:22:12.314+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas","BRA:IMA:MAC:0000062038","11445","MAC - Herbário do Instituto do Meio Ambiente do Estado de Alagoas","Quebrangulo","Reserva Biológica de Pedra Talhada.","pt","MAC",1587318881,"BRA:IMA:MAC:0000062038","Collection","M.C.S.Mota; E.C.O.Chagas","62038","IMA","Instituto do Meio Ambiente do Estado de Alagoas, IMA","Árvore ca. 10 m de alt. Botões verdes.; Mata Atlântica.","M.Sobral","","","","","","","","",NA,"","","",NA,"","",NA,"","","","",NA,NA,"","","","","","",NA,"","","","","Quebrangulo","Alagoas","brazil",4031,"Quebrangulo",2707602,-36.468669,-9.311118,"ALAGOAS","AL","Alagoas",-36.62362821,-9.51494324,"Alagoas","al",-9.559167,-36.809167,"original coordinates","original coordinates outside municipality original in quebrangulo falls in igaci"
"9","Eugenia francavilleana",1087657778,-23.905,-46.489444,"gass84","d2470ef8-edfa-4ba7-821e-c3e1a537bdba","4265f332-341c-45f6-b30b-5dc2e39b86e8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:11:42.080+0000","2018-02-15T05:17:45.814+0000",121,"none","PRESERVED_SPECIMEN",5416324,6,7707728,220,690,5014,3177662,5417378,5417378,"Eugenia glazioviana Kiaersk.","Eugenia francavilleana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia francavilleana","Eugenia","glazioviana","SPECIES","SYNONYM","2013-01-21T00:00:00",40,0,"SOUTH_AMERICA","São Paulo",2012,10,29,"2012-10-29T00:00:00","2018-01-16T21:11:38.000+0000","2018-12-08T13:05:46.131+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","BHCB - Herbário da Universidade Federal de Minas Gerais","BRA:UFMG:BHCB:0000161472","628","BHCB - Herbário da Universidade Federal de Minas Gerais","Cubatão","Parque Estadual da Serra do Mar, Núcleo Itutinga - Pilões. Trilha dos Pilões.","pt","BHCB",1087657778,"BRA:UFMG:BHCB:0000161472","Collection","Bünger, MO; Moura-Júnior, EG","161472","Universidade Federal de Minas Gerais (UFMG)","Universidade Federal de Minas Gerais (UFMG)","","","","","","","","","","",NA,"","","",NA,"","",NA,"","","","",NA,NA,"","","","","","",NA,"","","","","Cubatão","São Paulo","brazil",1076,"Cubatão",3513504,-46.408367,-23.864902,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-23.905,-46.489444,"original coordinates","original coordinates OK"
"10","Eugenia francavilleana",1094910073,-19,-39,"gass84","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:47.220+0000","2018-09-10T18:27:30.394+0000",124,"none","PRESERVED_SPECIMEN",5416324,6,7707728,220,690,5014,3177662,5417378,5417378,"Eugenia glazioviana Kiaersk.","Eugenia francavilleana O.Berg","Plantae","Tracheophyta","Myrtales","Myrtaceae","Eugenia","Eugenia francavilleana","Eugenia","glazioviana","SPECIES","SYNONYM","none",11,0,"","Espírito Santo",2011,4,20,"2011-04-20T00:00:00","","2018-09-10T18:27:56.606+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000193406","273","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Linhares","Reserva Natural da Vale. Estrada Jueirana Vermelho Km2,4 , próximo ao Rio Barra Seca.","pt","HUEFS",1094910073,"BRA:UEFS:HUEFS:0000193406","Collection","Lopes, J.C.","193406","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Mussununga.","","","","","","","","","",NA,"","","",NA,"","",NA,"","","","",NA,NA,"","","","","","",NA,"","","","","Linhares","Espírito Santo","brazil",2565,"Linhares",3203205,-40.028138,-19.38214,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-19,-39,"original coordinates","original coordinates outside Brazil"
