"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","continent","stateProvince.original","year","month","day","eventDate","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","modified","otherCatalogNumbers","references","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","verbatimElevation","collectionID","habitat","fieldNotes","individualCount","nomenclaturalStatus","taxonID","bibliographicCitation","coordinateUncertaintyInMeters","georeferencedDate","georeferenceProtocol","georeferenceSources","identificationRemarks","higherGeography","organismID","datasetID","accessRights","higherClassification","typeStatus","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Picramnia ciliata",1095853989,-23.209444,-45.077222,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:56:59.481+0000","2018-11-24T08:56:59.505+0000",126,"none","PRESERVED_SPECIMEN",3709308,6,7707728,220,7223737,3694522,8118842,3709308,3709308,"Picramnia ciliata Mart.","Picramnia ciliata Mart.","Plantae","Tracheophyta","Picramniales","Picramniaceae","Picramnia","Picramnia ciliata","Picramnia","ciliata","SPECIES","ACCEPTED","2013-01-07T00:00:00",5,0,"SOUTH_AMERICA","São Paulo",2013,1,7,"2013-01-07T00:00:00","2018-11-24T08:57:22.526+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000049360","225","SPSF - Herbário Dom Bento José Pickel","Ubatuba","Parque Estadual da Serra do Mar, Núcleo Picinguaba","pt","SPSF",1095853989,"BRA:IF:SPSF:0000049360","Collection","M.Pastore & F.C.Brito","49360","IF","Instituto Florestal, IF","COLETA: Trepadeira volúvel; indumento amarelado. Folhas discolores, face adaxial verde-escura, abaxial verde-esbranquiçada. Cálice verde; corola lilás, região mesopétala mais clara externamente, anteras e estigmas alvos.; GEOGRAFIA: Mata Atlântica. Restin","M.Pastore","","","","","","",NA,"","",NA,"","","","",NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,"Ubatuba","São Paulo","brazil",1216,"Ubatuba",3555406,-45.026117,-23.38322,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-23.209444,-45.077222,"original coordinates","original coordinates outside municipality original in ubatuba falls in cunha"
"2","Picramnia ciliata",1899818613,-15.728056,-39.3825,"gass84","5b5cf455-a448-4c0a-aecd-3e0956f27f10","afdd8e93-b4e3-491c-88f0-8a22834ac1a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T14:13:53.058+0000","2018-12-03T16:15:52.631+0000",122,"none","PRESERVED_SPECIMEN",3709308,6,7707728,220,7223737,3694522,8118842,3709308,3709308,"Picramnia ciliata Mart.","Picramnia ciliata Mart.","Plantae","Tracheophyta","Picramniales","Picramniaceae","Picramnia","Picramnia ciliata","Picramnia","ciliata","SPECIES","ACCEPTED","2013-12-01T00:00:00",NA,NA,"SOUTH_AMERICA","Bahia",2013,5,15,"2013-05-15T00:00:00","2018-12-03T16:16:11.466+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ALCB - Herbário Alexandre Leal Costa","BRA:UFBA:ALCB:0000121427","1645","ALCB - Herbário Alexandre Leal Costa","Mascote","","pt","ALCB",1899818613,"BRA:UFBA:ALCB:0000121427","Collection","Gomes, FS","121427","Universidade Federal da Bahia (UFBA)","Universidade Federal da Bahia (UFBA)","Folhas compostas pinadas. 120.1, parcela 01.","Gomes, FS","2018-08-28T19:15:47.000+0000","","","","","",NA,"","",NA,"","","","",NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,"Mascote","Bahia","brazil",3125,"Mascote",2920908,-39.421708,-15.657048,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-15.728056,-39.3825,"original coordinates","original coordinates OK"
"3","Picramnia ciliata",1424449020,-22.369167,-42.4575,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:42:29.898+0000","2018-09-24T20:03:43.944+0000",207,"none","PRESERVED_SPECIMEN",3709308,6,7707728,220,7223737,3694522,8118842,3709308,3709308,"Picramnia ciliata Mart.","Picramnia ciliata Mart.","Plantae","Tracheophyta","Picramniales","Picramniaceae","Picramnia","Picramnia ciliata","Picramnia","ciliata","SPECIES","ACCEPTED","none",1011,NA,"","Rio de Janeiro",2013,6,1,"2013-06-01T00:00:00","2018-12-06T17:00:30.629+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:781811","1302","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Nova Friburgo","Sitio Sarandu. Floresta Ombrófila.","","RB",1424449020,"urn:catalog:JBRJ:RB:781811","PhysicalObject","Neves, D.R.M.; Pennington, R.T.; Lima, H.C.; Prieto, P.","RB00781811","JBRJ","","Árvore 3m. Frutos alaranjados. Material banco DNA.","","2017-10-18T17:07:38.521+0000","RB 574940","","","","",NA,"","",NA,"","","","",NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,"Nova Friburgo","Rio de Janeiro","brazil",1598,"Nova Friburgo",3303401,-42.501539,-22.319613,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-22.369167,-42.4575,"original coordinates","original coordinates OK"
"4","Picramnia ciliata",1424449101,-22.369167,-42.4575,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:42:29.885+0000","2018-09-24T20:03:43.945+0000",207,"none","PRESERVED_SPECIMEN",3709308,6,7707728,220,7223737,3694522,8118842,3709308,3709308,"Picramnia ciliata Mart.","Picramnia ciliata Mart.","Plantae","Tracheophyta","Picramniales","Picramniaceae","Picramnia","Picramnia ciliata","Picramnia","ciliata","SPECIES","ACCEPTED","none",1011,NA,"","Rio de Janeiro",2013,6,1,"2013-06-01T00:00:00","2018-12-06T17:00:30.678+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:781812","1303","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Nova Friburgo","Sítio Sarandu. Floresta Ombrófila.","","RB",1424449101,"urn:catalog:JBRJ:RB:781812","PhysicalObject","Neves, D.R.M.; Pennington, R.T.; Lima, H.C.; Prieto, P.","RB00781812","JBRJ","","Árvore 3m. Frutos laranjados. Material banco DNA.","","2017-10-18T18:12:45.616+0000","RB 574941","","","","",NA,"","",NA,"","","","",NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,"Nova Friburgo","Rio de Janeiro","brazil",1598,"Nova Friburgo",3303401,-42.501539,-22.319613,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-22.369167,-42.4575,"original coordinates","original coordinates OK"
"5","Picramnia ciliata",1094885719,-13.117222,-38.766944,"gass84,iddatunl","2e684fd6-09e2-4661-910a-0a188b610c04","60545be9-4f28-4245-b4b4-07635c8dfa54","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:19:33.940+0000","2018-09-10T18:27:16.040+0000",124,"none","PRESERVED_SPECIMEN",3709308,6,7707728,220,7223737,3694522,8118842,3709308,3709308,"Picramnia ciliata Mart.","Picramnia ciliata Mart.","Plantae","Tracheophyta","Picramniales","Picramniaceae","Picramnia","Picramnia ciliata","Picramnia","ciliata","SPECIES","ACCEPTED","2012-01-01T00:00:00",NA,NA,"","Bahia",2012,4,15,"2012-04-15T00:00:00","2018-09-10T18:27:41.383+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HUEFS - Herbario da Universidade Estadual de Feira de Santana","BRA:UEFS:HUEFS:0000168676","3426","HUEFS - Herbario da Universidade Estadual de Feira de Santana","Vera Cruz","Berlinque","pt","HUEFS",1094885719,"BRA:UEFS:HUEFS:0000168676","Collection","Matos, E.N.de","168676","UEFS","Universidade Estadual de Feira de Santana (UEFS)","Restinga. Floresta.","J.R.Pirani","","","","","","",NA,"","",NA,"","","","",NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,"Vera Cruz","Bahia","brazil",3459,"Vera Cruz",2933208,-38.696518,-13.007931,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-13.117222,-38.766944,"original coordinates","original coordinates OK"
"6","Picramnia ciliata",1424448298,-19.442222,-40.207778,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:42:29.422+0000","2018-09-24T20:03:43.599+0000",207,"none","PRESERVED_SPECIMEN",3709308,6,7707728,220,7223737,3694522,8118842,3709308,3709308,"Picramnia ciliata Mart.","Picramnia ciliata Mart.","Plantae","Tracheophyta","Picramniales","Picramniaceae","Picramnia","Picramnia ciliata","Picramnia","ciliata","SPECIES","ACCEPTED","none",NA,NA,"","Espírito Santo",2012,7,18,"2012-07-18T00:00:00","2018-12-06T17:00:30.440+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:780785","792","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Linhares","Parcela 9 para os estudos do EIA do Mineroduto Morro do Pilar/MG - Linhares/ES.","","RB",1424448298,"urn:catalog:JBRJ:RB:780785","PhysicalObject","E.M.Saddi; Pedro Otavio Samor, Silfo Neves & Roni Chaves","RB00780785","JBRJ","","Árvore com cerca de 8m de altura. Frutos imaturos enegrecidos.","E.M.Saddi","2017-10-18T17:11:14.941+0000","RB 574169","","","","",NA,"","",NA,"","","","",NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,"Linhares","Espírito Santo","brazil",2565,"Linhares",3203205,-40.028138,-19.38214,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-19.442222,-40.207778,"original coordinates","original coordinates OK"
"7","Picramnia ciliata",1089103851,-23.3531,-45.3298,"gass84","7741a517-ab3d-4b85-ae58-56322e44c8ce","d073b448-6b80-4364-8c38-18d08b88797f","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T13:51:44.989+0000","2018-12-03T16:41:22.304+0000",122,"none","PRESERVED_SPECIMEN",3709308,6,7707728,220,7223737,3694522,8118842,3709308,3709308,"Picramnia ciliata Mart.","Picramnia ciliata Mart.","Plantae","Tracheophyta","Picramniales","Picramniaceae","Picramnia","Picramnia ciliata","Picramnia","ciliata","SPECIES","ACCEPTED","2011-11-01T00:00:00",850,50,"","São Paulo",2011,7,1,"2011-07-01T00:00:00","2018-12-08T04:38:21.312+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","UEC - Herbário da Universidade Estadual de Campinas","BRA:UNICAMP:UEC:0000167038","293","UEC - Herbário da Universidade Estadual de Campinas","Paraíbuna","Parque Estadual da Serra do Mar.","pt","UEC",1089103851,"BRA:UNICAMP:UEC:0000167038","Collection","Stefani, E.J.F.; Belinello, R.; Galvão, J.C.","167038","UNICAMP","Universidade Estadual de Campinas, UNICAMP","Árvore com 6m, com frutos verdes.; Mata atlântica","Stefani, E.J.F.","2018-11-21T16:36:40.000+0000","","","","","",NA,"","",NA,"","","","",NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,"Paraíbuna","São Paulo","brazil",1180,"Paraibuna",3535606,-45.642423,-23.478827,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-23.3531,-45.3298,"original coordinates","original coordinates outside municipality original in paraibuna falls in natividade da serra"
"8","Picramnia ciliata",1090516409,-14.416667,-39.083333,"gass84","bc81e05b-ed51-46ba-a0a4-90fbae9b5545","c6aacf9d-a5a7-4d7f-a6fc-ea0a4b8ec450","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:34:34.674+0000","2018-11-24T12:34:34.680+0000",122,"none","PRESERVED_SPECIMEN",3709308,6,7707728,220,7223737,3694522,8118842,3709308,3709308,"Picramnia ciliata Mart.","Picramnia ciliata Mart.","Plantae","Tracheophyta","Picramniales","Picramniaceae","Picramnia","Picramnia ciliata","Picramnia","ciliata","SPECIES","ACCEPTED","none",120,0,"","Bahia",2010,6,1,"2010-06-01T00:00:00","2018-12-08T04:43:00.387+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CEPEC - Herbário do Centro de Pesquisas do Cacau","BRA:CEPLAC:CEPEC:0000128516","2174","CEPEC - Herbário do Centro de Pesquisas do Cacau","URUÇUCA","Parque Estadual da Serra do Conduru","pt","CEPEC",1090516409,"BRA:CEPLAC:CEPEC:0000128516","Collection","Piotto, D.","128516","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Comissão Executiva do Plano da Lavoura Cacaueira (CEPLAC)","Floresta secundária, idade: 38 anos, bosque: 3, parcela: 5, dist: 50, dap: 2.5 cm, altura: 4 m","D. Piotto","2018-11-14T18:13:16.000+0000","","","","","",NA,"","",NA,"","","","",NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,"URUÇUCA","Bahia","brazil",3281,"Uruçuca",2932705,-39.232321,-14.527691,"BAHIA","BA","Bahia",-41.72018023,-12.47295682,"Bahia","ba",-14.416667,-39.083333,"original coordinates","original coordinates outside municipality original in urucuca falls in itacare"
"9","Picramnia ciliata",1702650658,-18.370556,-40.153056,"gass84","1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3","76dbcb10-efc5-4d5f-87a5-bcd409fc92c8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:30:47.082+0000","2018-09-25T14:05:33.067+0000",126,"none","PRESERVED_SPECIMEN",3709308,6,7707728,220,7223737,3694522,8118842,3709308,3709308,"Picramnia ciliata Mart.","Picramnia ciliata Mart.","Plantae","Tracheophyta","Picramniales","Picramniaceae","Picramnia","Picramnia ciliata","Picramnia","ciliata","SPECIES","ACCEPTED","2010-03-01T00:00:00",80,0,"","Espírito Santo",2009,12,9,"2009-12-09T00:00:00","2018-12-08T11:34:40.271+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPF - Herbário da Universidade de São Paulo","BRA:USP:SPF:0000196910","6501","SPF - Herbário da Universidade de São Paulo","Pinheiros","Reserva Biológica do Córrego do Veado, Rebio, Córrego do Veado. Mata de tabuleiro.","pt","SPF",1702650658,"BRA:USP:SPF:0000196910","Collection","Folli, DA","196910","USP","Universidade de São Paulo, USP","Árvore, 4 m alt. Fruto rosa.","Pirani, JR","2018-08-21T18:41:54.000+0000","","","","","",NA,"","",NA,"","","","",NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,"Pinheiros","Espírito Santo","brazil",2744,"Pinheiros",3204104,-40.200327,-18.369494,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-18.370556,-40.153056,"original coordinates","original coordinates OK"
"10","Picramnia ciliata",1096932181,-18.370579,-40.152927,"gass84","86894738-457d-4d25-89ca-d05231a02d46","c38fb00b-8564-406c-b05b-2720815a0bd0","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:17:34.979+0000","2018-07-04T19:29:24.460+0000",138,"none","PRESERVED_SPECIMEN",3709308,6,7707728,220,7223737,3694522,8118842,3709308,3709308,"Picramnia ciliata Mart.","Picramnia ciliata Mart.","Plantae","Tracheophyta","Picramniales","Picramniaceae","Picramnia","Picramnia ciliata","Picramnia","ciliata","SPECIES","ACCEPTED","2011-01-18T00:00:00",80,0,"SOUTH_AMERICA","Espírito Santo",2009,12,9,"2009-12-09T00:00:00","2018-07-07T13:15:10.684+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","CVRD - Herbário da Reserva Natural Vale","BRA:CVRD:CVRD:0000012784","6501","CVRD - Herbário da Reserva Natural Vale","PINHEIROS","","pt","CVRD",1096932181,"BRA:CVRD:CVRD:0000012784","Collection","Folli, D.A.","12784","Reserva Natural Vale (CVRD)","Reserva Natural Vale (CVRD)","<ll>dwc_commonname:</ll> Cheiroso","José R. Pirani","","","","","","",NA,"","",NA,"","","","",NA,"",NA,"",NA,"","","",NA,NA,NA,NA,NA,NA,NA,"PINHEIROS","Espírito Santo","brazil",2744,"Pinheiros",3204104,-40.200327,-18.369494,"ESPIRITO SANTO","ES","Espírito Santo",-40.6681057,-19.57475617,"Espírito Santo","es",-18.370579,-40.152927,"original coordinates","original coordinates OK"
