"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","elevation","elevationAccuracy","locality","otherCatalogNumbers","continent","references","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","verbatimElevation","collectionID","fieldNotes","higherGeography","dynamicProperties","fieldNumber","higherClassification","coordinateUncertaintyInMeters","georeferenceProtocol","georeferenceSources","habitat","georeferencedDate","typeStatus","typifiedName","organismID","datasetID","accessRights","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Solanum lacerdae",1837380416,-27.54,-49.41,"gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:28.084+0000","2018-10-24T15:38:19.304+0000",121,"none","PRESERVED_SPECIMEN",2931025,6,7707728,220,1176,7717,2928997,2931025,2931025,"Solanum lacerdae Dusén","Solanum lacerdae Dusén","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum lacerdae","Solanum","lacerdae","SPECIES","ACCEPTED","2018-02-07T00:00:00","Santa Catarina",2018,1,24,"2018-01-24T00:00:00","2018-10-11T17:28:37.000+0000","2018-12-08T03:39:40.921+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000056438","1807","FURB - Herbário Dr. Roberto Miguel Klein","Ituporanga","pt","FURB",1837380416,"BRA:FURB:FURB:0000056438","Collection","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","56438","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","fruto imaturo","Farias, D.M.",NA,NA,"","","","","","","",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","Ituporanga","Santa Catarina","brazil",554,"Ituporanga",4208500,-49.539318,-27.452535,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-27.54,-49.41,"original coordinates","original coordinates outside municipality original in ituporanga falls in imbuia"
"2","Solanum lacerdae",1837380582,-27.54,-49.770556,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:28.167+0000","2018-10-24T15:38:19.379+0000",121,"none","PRESERVED_SPECIMEN",2931025,6,7707728,220,1176,7717,2928997,2931025,2931025,"Solanum lacerdae Dusén","Solanum lacerdae Dusén","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum lacerdae","Solanum","lacerdae","SPECIES","ACCEPTED","2018-02-15T00:00:00","Santa Catarina",2018,1,28,"2018-01-28T00:00:00","2018-10-11T17:28:37.000+0000","2018-12-08T03:39:40.972+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000056607","1840","FURB - Herbário Dr. Roberto Miguel Klein","Agrolândia","pt","FURB",1837380582,"BRA:FURB:FURB:0000056607","Collection","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","56607","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","flor branca","Farias, D.M.",915,0,"","","","","","","",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","Agrolândia","Santa Catarina","brazil",553,"Agrolândia",4200200,-49.82446,-27.454578,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-27.54,-49.770556,"original coordinates","original coordinates OK"
"3","Solanum lacerdae",1837381196,-26.911667,-49.588055,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:28.707+0000","2018-10-24T15:38:19.635+0000",121,"none","PRESERVED_SPECIMEN",2931025,6,7707728,220,1176,7717,2928997,2931025,2931025,"Solanum lacerdae Dusén","Solanum lacerdae Dusén","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum lacerdae","Solanum","lacerdae","SPECIES","ACCEPTED","2018-02-14T00:00:00","Santa Catarina",2018,2,14,"2018-02-14T00:00:00","2018-10-11T17:28:37.000+0000","2018-12-08T03:39:41.330+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000057201","2016","FURB - Herbário Dr. Roberto Miguel Klein","José Boiteux","pt","FURB",1837381196,"BRA:FURB:FURB:0000057201","Collection","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","57201","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","fruto imaturo","Kassner-Filho, A.",NA,NA,"","","","","","","",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","José Boiteux","Santa Catarina","brazil",695,"José Boiteux",4209151,-49.646426,-26.859394,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.911667,-49.588055,"original coordinates","original coordinates OK"
"4","Solanum lacerdae",1840922372,-28.013056,-49.491944,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:29.117+0000","2018-10-24T15:38:19.960+0000",121,"none","PRESERVED_SPECIMEN",2931025,6,7707728,220,1176,7717,2928997,2931025,2931025,"Solanum lacerdae Dusén","Solanum lacerdae Dusén","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum lacerdae","Solanum","lacerdae","SPECIES","ACCEPTED","2018-03-28T00:00:00","Santa Catarina",2018,3,15,"2018-03-15T00:00:00","2018-10-11T17:28:37.000+0000","2018-12-08T19:50:35.179+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000057762","2397","FURB - Herbário Dr. Roberto Miguel Klein","Urubici","pt","FURB",1840922372,"BRA:FURB:FURB:0000057762","Collection","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","57762","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","","Farias, D.M.",105,0,"","","","","","","",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","Urubici","Santa Catarina","brazil",414,"Urubici",4218905,-49.578366,-28.038901,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-28.013056,-49.491944,"original coordinates","original coordinates OK"
"5","Solanum lacerdae",1848115517,-25.922833,-51.860167,"gass84","dd31ac22-63d4-4bb4-a987-5eece5ffadb8","042a7696-696b-492b-ad3e-4076807eaeed","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:18.015+0000","2018-11-24T12:32:18.041+0000",118,"none","PRESERVED_SPECIMEN",2931025,6,7707728,220,1176,7717,2928997,2931025,2931025,"Solanum lacerdae Dusén","Solanum lacerdae Dusén","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum lacerdae","Solanum","lacerdae","SPECIES","ACCEPTED","2018-05-15T00:00:00","Paraná",2018,4,12,"2018-04-12T00:00:00","2018-10-30T18:03:16.000+0000","2018-12-08T15:07:38.411+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","BRA:UTFPR:HCF:0000025282","8085","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","Reserva do Iguaçu","pt","HCF",1848115517,"BRA:UTFPR:HCF:0000025282","Collection","M.G. Caxambu","25282","Universidade Tecnológica Federal do Paraná (UTFPR)","Universidade Tecnológica Federal do Paraná (UTFPR)","arbusto heliófito, piloso. Folhas discolores. Frutos imaturos variando do verde ao amarelo.","M.G. Caxambu",1154,0,"Estação Ecológica Municipal Francisco","","","","","","",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","Reserva do Iguaçu","Paraná","brazil",835,"Reserva do Iguaçu",4121752,-51.963641,-25.867697,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.922833,-51.860167,"original coordinates","original coordinates OK"
"6","Solanum lacerdae",1563172163,-27.449444,-50.940833,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:25.856+0000","2018-10-24T15:38:18.388+0000",121,"none","PRESERVED_SPECIMEN",2931025,6,7707728,220,1176,7717,2928997,2931025,2931025,"Solanum lacerdae Dusén","Solanum lacerdae Dusén","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum lacerdae","Solanum","lacerdae","SPECIES","ACCEPTED","2017-05-10T00:00:00","Santa Catarina",2017,4,27,"2017-04-27T00:00:00","2018-10-11T17:28:37.000+0000","2018-12-07T14:50:40.486+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000053566","270","FURB - Herbário Dr. Roberto Miguel Klein","Vargem","pt","FURB",1563172163,"BRA:FURB:FURB:0000053566","Collection","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","53566","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","fruto imaturo","Farias, D.M.",941,0,"","","","","","","",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","Vargem","Santa Catarina","brazil",550,"Vargem",4219150,-50.950377,-27.466822,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-27.449444,-50.940833,"original coordinates","original coordinates OK"
"7","Solanum lacerdae",1570751024,-22.431667,-44.606944,"gass84","d2470ef8-edfa-4ba7-821e-c3e1a537bdba","4265f332-341c-45f6-b30b-5dc2e39b86e8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:11:46.666+0000","2018-02-15T05:17:53.590+0000",121,"none","PRESERVED_SPECIMEN",2931025,6,7707728,220,1176,7717,2928997,2931025,2931025,"Solanum lacerdae Dusén","Solanum lacerdae Dusén","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum lacerdae","Solanum","lacerdae","SPECIES","ACCEPTED","2017-05-01T00:00:00","Rio de Janeiro",2017,5,27,"2017-05-27T00:00:00","2018-01-16T21:14:32.000+0000","2018-12-08T17:16:16.955+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","BHCB - Herbário da Universidade Federal de Minas Gerais","BRA:UFMG:BHCB:0000188228","229","BHCB - Herbário da Universidade Federal de Minas Gerais","Itatiaia","pt","BHCB",1570751024,"BRA:UFMG:BHCB:0000188228","Collection","Gouvêa, YF; Salino, A; Souza, FS; et al.","188228","Universidade Federal de Minas Gerais (UFMG)","Universidade Federal de Minas Gerais (UFMG)","","",1167,0,"Parque Nacional do Itatiaia, beira da trilha ""Três Picos"".","","SOUTH_AMERICA","","","","",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","Itatiaia","Rio de Janeiro","brazil",1561,"Itatiaia",3302254,-44.580977,-22.439525,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-22.431667,-44.606944,"original coordinates","original coordinates OK"
"8","Solanum lacerdae",1563170018,-27.115556,-49.196944,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:24.212+0000","2018-10-24T15:38:17.522+0000",121,"none","PRESERVED_SPECIMEN",2931025,6,7707728,220,1176,7717,2928997,2931025,2931025,"Solanum lacerdae Dusén","Solanum lacerdae Dusén","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum lacerdae","Solanum","lacerdae","SPECIES","ACCEPTED","none","Santa Catarina",2016,8,15,"2016-08-15T00:00:00","2018-10-11T17:28:37.000+0000","2018-12-07T14:50:39.266+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000051403","88","FURB - Herbário Dr. Roberto Miguel Klein","Indaial","pt","FURB",1563170018,"BRA:FURB:FURB:0000051403","Collection","Maçaneiro, J.P.; Cunha, J.E.","51403","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","","",695,0,"Faxinal do Bepe. Vegetação em estágio inicial de regeneração. Parque Nacional da Serra do Itajaí","","","","","","",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","Indaial","Santa Catarina","brazil",665,"Indaial",4207502,-49.224868,-26.994453,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-27.115556,-49.196944,"original coordinates","original coordinates OK"
"9","Solanum lacerdae",1423903861,-22.361389,-44.589444,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:34:45.100+0000","2018-09-24T19:57:50.521+0000",207,"none","PRESERVED_SPECIMEN",2931025,6,7707728,220,1176,7717,2928997,2931025,2931025,"Solanum lacerdae Dusén","Solanum lacerdae Dusén","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum lacerdae","Solanum","lacerdae","SPECIES","ACCEPTED","none","Rio de Janeiro",2015,2,5,"2015-02-05T00:00:00","2018-03-12T10:18:44.406+0000","2018-12-06T16:55:21.751+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1097690","1137","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Itatiaia","","RB",1423903861,"urn:catalog:JBRJ:RB:1097690","PhysicalObject","L.J.T. Cardoso; P. Monteiro, R. Giovanetti & L. Jordão","RB01097690","JBRJ","","","L.L.GIACOMIM",1468,NA,"Fazenda Marimbondo. Floresta Ombrófila Densa. Parque Estadual da Pedra Selada","RB 643223","","","","","",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","Itatiaia","Rio de Janeiro","brazil",1561,"Itatiaia",3302254,-44.580977,-22.439525,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-22.361389,-44.589444,"original coordinates","original coordinates OK"
"10","Solanum lacerdae",1275058088,-26.039167,-48.954444,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:23.161+0000","2018-10-24T15:38:17.063+0000",121,"none","PRESERVED_SPECIMEN",2931025,6,7707728,220,1176,7717,2928997,2931025,2931025,"Solanum lacerdae Dusén","Solanum lacerdae Dusén","Plantae","Tracheophyta","Solanales","Solanaceae","Solanum","Solanum lacerdae","Solanum","lacerdae","SPECIES","ACCEPTED","2016-10-24T00:00:00","Santa Catarina",2015,5,5,"2015-05-05T00:00:00","","2018-10-24T15:38:55.584+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000050087","4286","FURB - Herbário Dr. Roberto Miguel Klein","Garuva","pt","FURB",1275058088,"BRA:FURB:FURB:0000050087","Collection","Funez, L.A.; Zermiani, A.E.","50087","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","","Funez, L.A.",1200,0,"Alto Quiriri.","","","","","","",NA,"","",NA,"","","","","",NA,"",NA,"","","","","","",NA,"","","Garuva","Santa Catarina","brazil",815,"Garuva",4205803,-48.868811,-26.057411,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.039167,-48.954444,"original coordinates","original coordinates OK"
