"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","locality","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","otherCatalogNumbers","institutionCode","occurrenceRemarks","identifiedBy","elevationAccuracy","continent","language","ownerInstitutionCode","fieldNotes","references","created","associatedSequences","taxonID","higherClassification","preparations","county","fieldNumber","verbatimLocality","habitat","nomenclaturalCode","verbatimEventDate","higherGeography","verbatimElevation","identificationQualifier","institutionID","endDayOfYear","startDayOfYear","collectionID","coordinateUncertaintyInMeters","georeferenceProtocol","georeferenceSources","individualCount","nomenclaturalStatus","bibliographicCitation","organismID","datasetID","accessRights","georeferencedDate","typeStatus","typifiedName","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Symplocos estrellensis",1423926829,-22.441111,-42.509444,"cdround,gass84","4300f8d5-1ae5-49e5-a101-63894b005868","838537fc-4aeb-4980-8b58-97fbdcd1d91a","none","da7fe11a-b42c-46cb-9e9d-02243edb738a","BR","DWC_ARCHIVE","2018-10-02T15:35:28.104+0000","2018-09-24T19:58:02.046+0000",207,"none","PRESERVED_SPECIMEN",3644166,6,7707728,220,1353,6708,3032996,3644166,3644166,"Symplocos estrellensis Casar.","Symplocos estrellensis Casar.","Plantae","Tracheophyta","Ericales","Symplocaceae","Symplocos","Symplocos estrellensis","Symplocos","estrellensis","SPECIES","ACCEPTED","2017-01-01T00:00:00",950,"Rio de Janeiro",2016,8,9,"2016-08-09T00:00:00","2017-10-15T11:51:01.530+0000","2018-12-06T16:55:34.765+0000","http://creativecommons.org/licenses/by/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","Rio de Janeiro Botanical Garden","urn:catalog:JBRJ:RB:1174559","19324","RB - Rio de Janeiro Botanical Garden Herbarium Collection","Silva Jardim","Serra dos Pirineus, próximo da divisa com Município de Nova Friburgo, picada para o vale do Paiá. mata atlantica de altitude com afloramentos rochosos. APA de Macaé de Cima","RB",1423926829,"urn:catalog:JBRJ:RB:1174559","PhysicalObject","G.Martinelli; P.Rosa, D.Maurenza","RB01174559","RB 659377","JBRJ","arvoreta, 6m, ciófila; folhas verdes, discolores; frutos imaturos de cor verde.","T. S. Mendes & E. F. Guimarães",NA,"","","","","","","",NA,"","","",NA,"","","","","","",NA,"",NA,NA,"",NA,"","",NA,"","",NA,"","","","","","Silva Jardim","Rio de Janeiro","brazil",1506,"Silva Jardim",3305604,-42.414048,-22.567613,"RIO DE JANEIRO","RJ","Rio de Janeiro",-42.66307908,-22.19581555,"Rio de Janeiro","rj",-22.441111,-42.509444,"original coordinates","original coordinates OK"
"2","Symplocos estrellensis",1264698286,-22.5925,-45.303611,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:56:59.605+0000","2018-11-24T08:56:59.652+0000",126,"none","PRESERVED_SPECIMEN",3643172,6,7707728,220,1353,6708,3032996,3644166,3644166,"Symplocos variabilis Mart. ex Miq.","Symplocos estrellensis Casar.","Plantae","Tracheophyta","Ericales","Symplocaceae","Symplocos","Symplocos estrellensis","Symplocos","variabilis","SPECIES","SYNONYM","2015-02-24T00:00:00",1598,"Minas Gerais",2015,2,24,"2015-02-24T00:00:00","2018-11-05T15:52:31.000+0000","2018-12-08T13:34:53.551+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000049695","169","SPSF - Herbário Dom Bento José Pickel","Delfim Moreira","Vila de São Francisco dos Campos do Jordão","SPSF",1264698286,"BRA:IF:SPSF:0000049695","Collection","M.G.K.Cornia & N.M.Ivanauskas & M.C.Assis","49695","","IF","COLETA: Árvore de 4,5 m. Botões florais alvos. Indivíduo 9963 do estudo fitossociológico.; GEOGRAFIA: Área da parcela da fitossociologia, Floresta Ombrófila Mista (WGS84, Zona 23K);","N.M.Ivanauskas",0,"SOUTH_AMERICA","pt","Instituto Florestal, IF","","","","",NA,"","","",NA,"","","","","","",NA,"",NA,NA,"",NA,"","",NA,"","",NA,"","","","","","Delfim Moreira","Minas Gerais","brazil",1527,"Delfim Moreira",3121100,-45.288068,-22.50701,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-22.5925,-45.303611,"original coordinates","original coordinates OK"
"3","Symplocos estrellensis",1135076096,-25.423056,-53.906389,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:56:59.543+0000","2018-11-24T08:56:59.594+0000",126,"none","PRESERVED_SPECIMEN",3644166,6,7707728,220,1353,6708,3032996,3644166,3644166,"Symplocos estrellensis Casar.","Symplocos estrellensis Casar.","Plantae","Tracheophyta","Ericales","Symplocaceae","Symplocos","Symplocos estrellensis","Symplocos","estrellensis","SPECIES","ACCEPTED","2016-03-14T00:00:00",267,"Paraná",2015,5,6,"2015-05-06T00:00:00","","2018-11-24T08:57:22.623+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000049557","1661","SPSF - Herbário Dom Bento José Pickel","Matelândia","Antiga estrada de Guarapuava","SPSF",1135076096,"BRA:IF:SPSF:0000049557","Collection","R.Cielo-Filho","49557","","IF","COLETA: Árvore, 4m; Flor de coloração verde claro.; GEOGRAFIA: PARNA Iguaçu, Floresta Estacional Semidecidual, Floresta secundária, Borda.;","G.A.D.C.Franco",0,"SOUTH_AMERICA","pt","Instituto Florestal, IF","","","","",NA,"","","",NA,"","","","","","",NA,"",NA,NA,"",NA,"","",NA,"","",NA,"","","","","","Matelândia","Paraná","brazil",892,"Matelândia",4115606,-53.904831,-25.351419,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.423056,-53.906389,"original coordinates","original coordinates OK"
"4","Symplocos estrellensis",1135076117,-25.423056,-53.906389,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:56:59.533+0000","2018-11-24T08:56:59.592+0000",126,"none","PRESERVED_SPECIMEN",3644166,6,7707728,220,1353,6708,3032996,3644166,3644166,"Symplocos estrellensis Casar.","Symplocos estrellensis Casar.","Plantae","Tracheophyta","Ericales","Symplocaceae","Symplocos","Symplocos estrellensis","Symplocos","estrellensis","SPECIES","ACCEPTED","2016-03-14T00:00:00",267,"Paraná",2015,5,6,"2015-05-06T00:00:00","","2018-11-24T08:57:22.659+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000049556","1660","SPSF - Herbário Dom Bento José Pickel","Matelândia","Antiga estrada de Guarapuava","SPSF",1135076117,"BRA:IF:SPSF:0000049556","Collection","R.Cielo-Filho","49556","","IF","COLETA: Árvore, 4m; Flor em botão creme; Fruto jovem.; GEOGRAFIA: PARNA Iguaçu, Floresta Estacional Semidecidual, floresta secundária, Borda.;","R.Cielo-Filho",0,"SOUTH_AMERICA","pt","Instituto Florestal, IF","","","","",NA,"","","",NA,"","","","","","",NA,"",NA,NA,"",NA,"","",NA,"","",NA,"","","","","","Matelândia","Paraná","brazil",892,"Matelândia",4115606,-53.904831,-25.351419,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.423056,-53.906389,"original coordinates","original coordinates OK"
"5","Symplocos estrellensis",1135076135,-25.415,-53.900556,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:56:59.596+0000","2018-11-24T08:56:59.653+0000",126,"none","PRESERVED_SPECIMEN",3644166,6,7707728,220,1353,6708,3032996,3644166,3644166,"Symplocos estrellensis Casar.","Symplocos estrellensis Casar.","Plantae","Tracheophyta","Ericales","Symplocaceae","Symplocos","Symplocos estrellensis","Symplocos","estrellensis","SPECIES","ACCEPTED","2015-06-23T00:00:00",283,"Paraná",2015,6,3,"2015-06-03T00:00:00","","2018-11-24T08:57:22.807+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000049769","1689","SPSF - Herbário Dom Bento José Pickel","Matelândia","Antiga estrada de Guarapuava","SPSF",1135076135,"BRA:IF:SPSF:0000049769","Collection","R.Cielo-Filho & G. Fouto & F. Nascimento & L. Lima & C. Farias","49769","","IF","COLETA: Arbusto, 1,2m; Flor creme.; GEOGRAFIA: PARNA Iguaçu, Floresta Estacional Semidecidual, floresta secundária, borda.;","G.A.D.C.Franco",0,"SOUTH_AMERICA","pt","Instituto Florestal, IF","","","","",NA,"","","",NA,"","","","","","",NA,"",NA,NA,"",NA,"","",NA,"","",NA,"","","","","","Matelândia","Paraná","brazil",892,"Matelândia",4115606,-53.904831,-25.351419,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.415,-53.900556,"original coordinates","original coordinates OK"
"6","Symplocos estrellensis",1135076120,-25.415,-53.900556,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:56:59.616+0000","2018-11-24T08:56:59.687+0000",126,"none","PRESERVED_SPECIMEN",3644166,6,7707728,220,1353,6708,3032996,3644166,3644166,"Symplocos estrellensis Casar.","Symplocos estrellensis Casar.","Plantae","Tracheophyta","Ericales","Symplocaceae","Symplocos","Symplocos estrellensis","Symplocos","estrellensis","SPECIES","ACCEPTED","2016-03-14T00:00:00",283,"Paraná",2015,6,3,"2015-06-03T00:00:00","","2018-11-24T08:57:22.819+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000049768","","SPSF - Herbário Dom Bento José Pickel","Matelândia","Antiga estrada de Guarapuava","SPSF",1135076120,"BRA:IF:SPSF:0000049768","Collection","R.Cielo-Filho & G. Fouto & F. Nascimento & L. Lima & C. Farias","49768","","IF","COLETA: Árvore,5m; Fruto imaturo verde.; GEOGRAFIA: PARNA Iguaçu, Floresta Estacional Semidecidual, floresta secundária, borda.;","G.A.D.C.Franco",0,"SOUTH_AMERICA","pt","Instituto Florestal, IF","","","","",NA,"","","",NA,"","","","","","",NA,"",NA,NA,"",NA,"","",NA,"","",NA,"","","","","","Matelândia","Paraná","brazil",892,"Matelândia",4115606,-53.904831,-25.351419,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.415,-53.900556,"original coordinates","original coordinates OK"
"7","Symplocos estrellensis",1316181543,-20.268056,-43.368889,"gass84,preneglat,preneglon","fd99455d-f6e9-4421-930a-5d8e23ac8895","9ac2b49d-da08-49a7-a7ae-c2a0460fcf96","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:19:50.974+0000","2018-01-05T18:24:13.974+0000",137,"none","PRESERVED_SPECIMEN",3644166,6,7707728,220,1353,6708,3032996,3644166,3644166,"Symplocos estrellensis Casar.","Symplocos estrellensis Casar.","Plantae","Tracheophyta","Ericales","Symplocaceae","Symplocos","Symplocos estrellensis","Symplocos","estrellensis","SPECIES","ACCEPTED","none",770,"Minas Gerais",2015,7,29,"2015-07-29T00:00:00","2016-09-19T18:43:34.000+0000","2018-12-09T14:26:06.053+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte","BRA:FZB-BH:BHZB:0000011390","5155","BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte","Mariana","Região do distrito de Camargos","BHZB",1316181543,"BRA:FZB-BH:BHZB:0000011390","Collection","Rezende, S.G.","11390","","FZB-BH","; Habitat: Floresta Estacional Semidecidual; Bioma: Mata Atlântica","",0,"","pt","Fundação Zoo-Botânica de Belo Horizonte (FZB-BH)","","","","",NA,"","","",NA,"","","","","","",NA,"",NA,NA,"",NA,"","",NA,"","",NA,"","","","","","Mariana","Minas Gerais","brazil",2315,"Mariana",3140001,-43.332093,-20.329725,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-20.268056,-43.368889,"original coordinates","original coordinates OK"
"8","Symplocos estrellensis",1316181536,-20.260833,-43.369722,"gass84,preneglat,preneglon","fd99455d-f6e9-4421-930a-5d8e23ac8895","9ac2b49d-da08-49a7-a7ae-c2a0460fcf96","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:19:50.934+0000","2018-01-05T18:24:13.959+0000",137,"none","PRESERVED_SPECIMEN",3644166,6,7707728,220,1353,6708,3032996,3644166,3644166,"Symplocos estrellensis Casar.","Symplocos estrellensis Casar.","Plantae","Tracheophyta","Ericales","Symplocaceae","Symplocos","Symplocos estrellensis","Symplocos","estrellensis","SPECIES","ACCEPTED","none",750,"Minas Gerais",2015,7,29,"2015-07-29T00:00:00","2016-09-19T18:43:34.000+0000","2018-12-09T14:26:06.139+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte","BRA:FZB-BH:BHZB:0000011389","5154","BHZB - Herbário do Jardim Botânico da Fundação Zoo-Botânica de Belo Horizonte","Mariana","Região do distrito de Camargos","BHZB",1316181536,"BRA:FZB-BH:BHZB:0000011389","Collection","Rezende, S.G.","11389","","FZB-BH","; Habitat: Floresta Estacional Semidecidual; Bioma: Mata Atlântica","",0,"","pt","Fundação Zoo-Botânica de Belo Horizonte (FZB-BH)","","","","",NA,"","","",NA,"","","","","","",NA,"",NA,NA,"",NA,"","",NA,"","",NA,"","","","","","Mariana","Minas Gerais","brazil",2315,"Mariana",3140001,-43.332093,-20.329725,"MINAS GERAIS","MG","Minas Gerais",-44.67333254,-18.45539008,"Minas Gerais","mg",-20.260833,-43.369722,"original coordinates","original coordinates OK"
"9","Symplocos estrellensis",1095637050,-25.448,-49.017167,"gass84","3b8e9d83-b2d4-4a97-973c-31d98b67b1e9","ab5c0b99-5af3-4958-b03c-0b7e85481cc1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:24:33.869+0000","2018-06-04T19:36:08.640+0000",118,"none","PRESERVED_SPECIMEN",3644166,6,7707728,220,1353,6708,3032996,3644166,3644166,"Symplocos estrellensis Casar.","Symplocos estrellensis Casar.","Plantae","Tracheophyta","Ericales","Symplocaceae","Symplocos","Symplocos estrellensis","Symplocos","estrellensis","SPECIES","ACCEPTED","2014-11-10T00:00:00",983,"Paraná",2014,9,23,"2014-09-23T00:00:00","","2018-07-07T12:46:07.985+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBM - Herbário do Museu Botânico Municipal","BRA:MBM:MBM:0000392440","1799","MBM - Herbário do Museu Botânico Municipal","Piraquara","Recreio da Serra","MBM",1095637050,"BRA:MBM:MBM:0000392440","Collection","Brotto, ML","392440","","MBM","Árvore de 10m de altura; frutos verdes.; Transição entre Floresta Ombrófila Densa e Floresta Ombrófila Mista.","David, F",0,"SOUTH_AMERICA","pt","Museu Botânico Municipal de Curitiba, MBM","","","","",NA,"","","",NA,"","","","","","",NA,"",NA,NA,"",NA,"","",NA,"","",NA,"","","","","","Piraquara","Paraná","brazil",877,"Piraquara",4119509,-49.052069,-25.472754,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.448,-49.017167,"original coordinates","original coordinates OK"
"10","Symplocos estrellensis",1208834696,-25.448056,-49.017222,"gass84","16ed67e5-fd70-4fd4-85c3-70ea2da627fe","52603cfd-d564-4e89-a466-5e71813677be","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T08:56:59.654+0000","2018-11-24T08:56:59.707+0000",126,"none","PRESERVED_SPECIMEN",3644166,6,7707728,220,1353,6708,3032996,3644166,3644166,"Symplocos estrellensis Casar.","Symplocos estrellensis Casar.","Plantae","Tracheophyta","Ericales","Symplocaceae","Symplocos","Symplocos estrellensis","Symplocos","estrellensis","SPECIES","ACCEPTED","2014-11-10T00:00:00",983,"Paraná",2014,9,23,"2014-09-23T00:00:00","","2018-11-24T08:57:22.930+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPSF - Herbário Dom Bento José Pickel","BRA:IF:SPSF:0000049893","1799","SPSF - Herbário Dom Bento José Pickel","Piraquara","Recreio da Serra","SPSF",1208834696,"BRA:IF:SPSF:0000049893","Collection","M.L.Brotto","49893","","IF","COLETA: Árvore de 10 de altura; frutos verdes. Transição entre Floresta Ombrófila Densa e Floresta Ombrófila Mista.;","F.David",0,"SOUTH_AMERICA","pt","Instituto Florestal, IF","","","","",NA,"","","",NA,"","","","","","",NA,"",NA,NA,"",NA,"","",NA,"","",NA,"","","","","","Piraquara","Paraná","brazil",877,"Piraquara",4119509,-49.052069,-25.472754,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.448056,-49.017222,"original coordinates","original coordinates OK"
