"","original_family","original_name","name_in_Flora","original_ID","final_family","scientificName","taxonID","vernacular_names","notes","tax_notes","notes_fam","nombre","establishmentMeans","occurrenceRemarks","location","lifeForm","vegetationType","habitat"
"1","Capparaceae","Capparidastrum brasilianum (DC.) Hutchinson",NA,NA,"Capparaceae","Capparidastrum brasilianum (DC.) Hutchinson",NA,NA,"not found",NA,"","Capparidastrum brasilianum",NA,NA,NA,NA,NA,NA
"2","Polygonaceae","Coccoloba ramosissima Wedd.","Coccoloba ramosissima Wedd.",13711,"Polygonaceae","Coccoloba ramosissima Wedd.",13711,NA,"LFB","name ok","","Coccoloba ramosissima","NATIVA","Endemica/Amazônia-Endemica/Mata Atlântica","BR-SE-BR-RJ-BR-ES-BR-RN-BR-PI-BR-PB-BR-MA-BR-CE-BR-BA-BR-PA","Arbusto-Árvore","Restinga","Terrícola"
"3","Fabaceae","Dicorynia ingens Ducke","Dicorynia ingens Ducke",78668,"Fabaceae","Dicorynia paraensis var. ingens (Ducke) Koeppen",83071,NA,"LFB","synonym","","Dicorynia paraensis var. ingens","NATIVA","Endemica/Amazônia","BR-PA","Árvore","Floresta de Igapó-Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"4","Myrtaceae","Marlierea excoriata Mart.","Marlierea excoriata Mart.",10590,"Myrtaceae","Marlierea excoriata Mart.",10590,NA,"LFB","name ok","","Marlierea excoriata","NATIVA","Endemica/Mata Atlântica","BR-TO-BR-PE-BR-SE-BR-SP-BR-RJ-BR-MG-BR-ES-BR-SC-BR-RS-BR-PR-BR-BA","Árvore","Cerrado (lato sensu)-Floresta Ombrófila (= Floresta Pluvial)-Restinga","Terrícola"
"5","Myrtaceae","Marlierea neuwiedeana (O.Berg) Nied.",NA,NA,"Myrtaceae","Marlierea neuwiedeana (O.Berg) Nied.",NA,NA,"not found",NA,"","Marlierea neuwiedeana",NA,NA,NA,NA,NA,NA
"6","Myrtaceae","Marlierea obscura Berg","Marlierea obscura O.Berg",10605,"Myrtaceae","Marlierea obscura O.Berg",10605,NA,"LFB","name ok","","Marlierea obscura","NATIVA","Endemica/Mata Atlântica","BR-MG-BR-ES","Árvore","Cerrado (lato sensu)-Floresta Ombrófila (= Floresta Pluvial)","Terrícola"
"7","Myrtaceae","Marlierea obversa C.D.Legrand","Marlierea obversa D.Legrand",10606,"Myrtaceae","Myrcia obversa (D. Legrand) E. Lucas & C. E. Wilson",603019,NA,"LFB","synonym","","Myrcia obversa","NATIVA","Endemica/Mata Atlântica","BR-ES-BR-RJ-BR-BA","Árvore","Floresta Ombrófila (= Floresta Pluvial)-Restinga","Terrícola"
"8","Fabaceae","Pityrocarpa moniliformis (Benth.) Luckow & R.W.Jobson","Pityrocarpa moniliformis (Benth.) Luckow & R.W.Jobson",116640,"Fabaceae","Pityrocarpa moniliformis (Benth.) Luckow & R.W.Jobson",116640,NA,"LFB","name ok","","Pityrocarpa moniliformis","NATIVA","Endemica/Caatinga-Endemica/Mata Atlântica","BR-BA-BR-MG-BR-RN-BR-PI-BR-PB","Arbusto-Árvore","Caatinga (stricto sensu)-Carrasco-Floresta Estacional Decidual","Terrícola"
"9","Fabaceae","Poincianella bracteosa (Tul.) L.P.Queiroz","Poincianella bracteosa (Tul.) L.P.Queiroz",109774,"Fabaceae","Poincianella bracteosa (Tul.) L.P.Queiroz",109774,NA,"LFB","name ok","","Poincianella bracteosa","NATIVA","Endemica/Caatinga-Endemica/Cerrado","BR-PI-BR-PB-BR-MA-BR-CE-BR-BA-BR-TO-BR-MT-BR-GO","Arbusto-Árvore","Caatinga (stricto sensu)-Carrasco-Cerrado (lato sensu)-Floresta Estacional Decidual","Terrícola"
"10","Fabaceae","Poincianella gardneriana (Benth.) L.P.Queiroz","Poincianella gardneriana (Benth.) L.P.Queiroz",109775,"Fabaceae","Poincianella gardneriana (Benth.) L.P.Queiroz",109775,NA,"LFB","name ok","","Poincianella gardneriana","NATIVA","Endemica/Caatinga","BR-RN-BR-PI-BR-PE-BR-PB-BR-CE-BR-BA","Arbusto-Árvore","Caatinga (stricto sensu)","Terrícola"
